Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,target.started,(iti_duration),(stim_duration),image.started,key_resp.started,corr_var,key_resp.keys,key_resp.rt,key_resp.duration,trial_fixation.started,prep_instr_2.started,target_2.started,rest_txt.started,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,18.0471488,18.0471488,s,0.6441681,None,,,,,,,,,,,,,,,,,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
,,,,,,,,,,,,,,,,,,,,,,,,,18.7131753,18.7131753,1,0.7443524,None,,,,,,,,,,,,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_002_BP10_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,19.6256143,19.6256143,0.5001353,1.9065923,22.0886234,22.0886234,1,2,1.1547714,None,23.9952157,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_001_BP1_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,0.9044573,1.9992332,24.495351,24.495351,1,2,0.5346701,None,26.4945842,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_006_BP2_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,0.5003522,1.5950925,27.3990415,27.3990415,0,1,0.4263659,None,28.994134,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_001_BP1_BA.png,target,target,Body,2-Back,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,0.5889439,1.9993276,29.4944862,29.4944862,0,2,0.5430683,None,31.4938138,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_005_BP19_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,0.5970411,1.910289,32.0827577,32.0827577,1,2,0.3669989,None,33.9930467,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_003_BP16_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,0.5003618,1.9021149,34.5900878,34.5900878,1,2,0.4622607,None,36.4922027,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_006_BP2_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,0.5004447,1.9992873,36.9925645,36.9925645,1,2,0.4997005,None,38.9918518,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
1,1,1,BP_004_BP18_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,0.5001451,1.9990166,39.4922965,39.4922965,0,1,0.5406213,None,41.4913131,,,,Jocelyn_ZB216,1,2024-02-16_16h35.25.185,nback-master,2023.1.3,60.04516597
