Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,(iti duration),(stim duration),(rest duration),prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,67.5454969,None,s,0.4569785,67.5454969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
,,,,,,,,,,,,,,,,,,,,,,,,,,68.0279778,None,1,0.6029408,68.0279778,None,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_055_TUFTS01BW.png,nonlure,nontarget,Place,2-Back,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,68.8134451,None,68.8134451,None,1,71.6518749,None,2,0.6773845,71.6518749,None,73.6585827,None,0.6328109,2.0067078,18.1895065,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_051_SCENE08.png,nonlure,nontarget,Place,2-Back,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,74.2913936,None,2,0.6053025,74.2913936,None,76.2893079,None,0.5078534,1.9979143,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_055_TUFTS01BW.png,target,target,Place,2-Back,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,76.7971613,None,1,0.4366097,76.7971613,None,78.804982,None,0.5244023,2.0078207,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_056_TUFTS02BW.png,nonlure,nontarget,Place,2-Back,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,79.3293843,None,2,0.4713424,79.3293843,None,81.337061,None,0.5086714,2.0076767,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_051_SCENE08.png,lure,nontarget,Place,2-Back,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,81.8457324,None,2,0.5201505,81.8457324,None,83.8523369,None,0.5270455,2.0066045,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_052_SCENE11.png,nonlure,nontarget,Place,2-Back,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,84.3793824,None,2,0.7255886,84.3793824,None,86.3843394,None,0.5062949,2.004957,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_052_SCENE11.png,lure,nontarget,Place,2-Back,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,86.8906343,None,2,0.6527916,86.8906343,None,88.8828061,None,0.5255847,1.9921718,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_053_SCENE15.png,nonlure,nontarget,Place,2-Back,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,89.4083908,None,2,0.7167167,89.4083908,None,91.414823,None,0.5268338,2.0064322,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_054_SCENE19.png,nonlure,nontarget,Place,2-Back,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,91.9416568,None,2,0.5772276,91.9416568,None,93.9466536,None,0.5013376,2.0049968,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,1,1,PL_053_SCENE15.png,target,target,Place,2-Back,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,94.4479912,None,1,1.2683738,94.4479912,None,None,None,#VALUE!,#VALUE!,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_050_TOOL50_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,99.4349884,None,2,0.6190717,99.4349884,None,101.442363,None,0.6194467,2.0073746,,96.581044,None,96.581044,None,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_054_TOOL54_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,1,102.0618097,None,2,0.4226367,102.0618097,None,104.0576162,None,0.5017397,1.9958065,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_050_TOOL50_BA.png,lure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1,104.5593559,None,2,0.5427542,104.5593559,None,106.5561409,None,0.5019772,1.996785,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_049_TOOL49_BA.png,target,target,Tools,0-Back,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,107.0581181,None,2,0.5870132,107.0581181,None,109.0547392,None,0.5173269,1.9966211,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_052_TOOL52_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,1,109.5720661,None,2,0.6346384,109.5720661,None,111.5699609,None,0.5176228,1.9978948,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_053_TOOL53_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,1,112.0875837,None,2,0.5235552,112.0875837,None,114.0852548,None,0.5018406,1.9976711,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_052_TOOL52_BA.png,lure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,1,114.5870954,None,2,0.4275906,114.5870954,None,116.5838414,None,0.5020752,1.996746,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_054_TOOL54_BA.png,lure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,1,117.0859166,None,2,0.3963307,117.0859166,None,119.0824666,None,0.5019514,1.99655,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_049_TOOL49_BA.png,target,target,Tools,0-Back,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,1,119.584418,None,1,0.4545479,119.584418,None,121.5811017,None,0.6173997,1.9966837,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,2,1,TO_051_TOOL51_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,1,122.1985014,None,2,0.5896836,122.1985014,None,None,None,#VALUE!,#VALUE!,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.3857328,0,,,,,,124.1962263,None,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_059_TUFTS08BW.png,nonlure,nontarget,Place,0-Back,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,139.5450954,None,139.5450954,None,0,142.3857328,None,None,,142.3857328,None,144.3850743,None,0.5064585,1.9993415,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_057_TUFTS06BW.png,target,target,Place,0-Back,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,144.8915328,None,None,,144.8915328,None,146.8835692,None,0.5041901,1.9920364,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_059_TUFTS08BW.png,lure,nontarget,Place,0-Back,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0,147.3877593,None,None,,147.3877593,None,149.3822402,None,0.5379846,1.9944809,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_061_TUFTS11BW.png,nonlure,nontarget,Place,0-Back,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,0,149.9202248,None,None,,149.9202248,None,151.9142,None,0.5229808,1.9939752,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_062_TUFTS17BW.png,nonlure,nontarget,Place,0-Back,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,0,152.4371808,None,None,,152.4371808,None,154.4461687,None,0.5069623,2.0089879,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_061_TUFTS11BW.png,lure,nontarget,Place,0-Back,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,0,154.953131,None,None,,154.953131,None,156.9614658,None,0.5242545,2.0083348,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_060_TUFTS10BW.png,nonlure,nontarget,Place,0-Back,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,0,157.4857203,None,None,,157.4857203,None,159.4932937,None,0.5219884,2.0075734,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_058_TUFTS07BW.png,nonlure,nontarget,Place,0-Back,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,0,160.0152821,None,None,,160.0152821,None,162.0085772,None,0.5058293,1.9932951,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_062_TUFTS17BW.png,lure,nontarget,Place,0-Back,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,0,162.5144065,None,None,,162.5144065,None,164.5071586,None,0.5078084,1.9927521,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
5,3,1,PL_057_TUFTS06BW.png,target,target,Place,0-Back,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,0,165.014967,None,None,,165.014967,None,None,None,#VALUE!,#VALUE!,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1531,nback-master,2021.1.4,60.0308919
