Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,15.926438099999359,None,s,0.46427050000056624,15.926438099999359,None,,,,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
,,,,,,,,,,,,,,,,,,,,,,,,,,16.42104180000024,None,1,0.4693392000008316,16.42104180000024,None,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_040_F20.png,nonlure,nontarget,Face,0-Back,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,17.18309500000032,None,17.18309500000032,None,1,20.203940299999886,None,2,0.45217610000145214,20.203940299999886,None,22.201218099999096,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_041_M21.png,nonlure,nontarget,Face,0-Back,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,22.772437399999035,None,2,0.11597000000074331,22.772437399999035,None,24.76589579999927,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_038_F19.png,nonlure,nontarget,Face,0-Back,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,25.404417800000374,None,2,0.57821580000018,25.404417800000374,None,27.39773029999924,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_040_F20.png,lure,nontarget,Face,0-Back,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,27.918244200000117,None,2,0.5019257000003563,27.918244200000117,None,29.913059299999077,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_039_M20.png,nonlure,nontarget,Face,0-Back,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,30.44676459999937,None,2,0.6416834000010567,30.44676459999937,None,32.44492859999991,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_037_M19.png,target,target,Face,0-Back,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,32.95813780000026,None,1,0.6018671999991057,32.95813780000026,None,34.96049379999931,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_038_F19.png,lure,nontarget,Face,0-Back,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,35.483555999999226,None,2,0.5436926000002131,35.483555999999226,None,37.49208579999868,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_042_F21.png,nonlure,nontarget,Face,0-Back,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,38.031722899999295,None,2,0.43810839999969176,38.031722899999295,None,40.040728599999056,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_041_M21.png,lure,nontarget,Face,0-Back,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,40.558862699999736,None,2,0.8225454999992508,40.558862699999736,None,42.55597619999935,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,1,1,FC_037_M19.png,target,target,Face,0-Back,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,43.068471299999146,None,1,0.516450300001452,43.068471299999146,None,None,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,2,1,BP_038_FRBHI_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,48.01498469999933,None,2,1.3074569000000338,48.01498469999933,None,50.01840280000033,None,45.17064550000032,None,45.17064550000032,None,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
