Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,2520,-0.085714286,0.187619048,1,0,0,two_yellow_triangles,0,0,0,7,1,number,images/1greenTriangle.jpg,one_red_dot,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,5030,-0.071428571,0.184761905,1,0,0,two_yellow_triangles,0,1,1,28,1,number,images/2yellowCrosses.jpg,two_yellow_triangles,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
0,1940,0.317142857,0.202857143,1,0,0,four_blue_stars,0,2,2,17,1,number,images/2blueDots.jpg,two_yellow_triangles,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,2324,-0.047619048,0.215238095,1,0,0,two_yellow_triangles,0,3,3,26,1,number,images/2redStars.jpg,two_yellow_triangles,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,2001,-0.047619048,0.215238095,1,0,0,two_yellow_triangles,0,4,4,22,1,number,images/2greenStars.jpg,two_yellow_triangles,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,1910,0.096190476,0.223809524,1,0,0,three_green_crosses,0,5,5,41,1,number,images/3redDots.jpg,three_green_crosses,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,1634,0.097142857,0.223809524,1,0,0,three_green_crosses,0,6,6,40,1,number,images/3redCrosses.jpg,three_green_crosses,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
,,,,,,,,,,,,,,,,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,0,0,0,1,1,64:128
0,2397,-0.29047619,0.22,1,0,0,one_red_dot,0,0,0,4,1,colour,images/1greenCross.jpg,three_green_crosses,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
0,2851,-0.28952381,0.22,1,0,0,one_red_dot,0,1,1,17,1,colour,images/2blueDots.jpg,four_blue_stars,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,4042,0.375238095,0.222857143,1,0,0,four_blue_stars,0,2,2,51,1,colour,images/4blueTriangles.jpg,four_blue_stars,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,2290,-0.291428571,0.224761905,1,0,0,one_red_dot,0,3,3,27,1,colour,images/2redTriangles.jpg,one_red_dot,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,2960,-0.28952381,0.214285714,1,0,0,one_red_dot,0,4,4,56,1,colour,images/4redCrosses.jpg,one_red_dot,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,2612,0.358095238,0.226666667,1,0,0,four_blue_stars,0,5,5,1,1,colour,images/1blueDot.jpg,four_blue_stars,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,2012,0.334285714,0.221904762,1,0,0,four_blue_stars,0,6,6,2,1,colour,images/1blueStar.jpg,four_blue_stars,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
,,,,,,,,,,,,,,,,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,0,1,1,0,1,0:64
0,2959,-0.151428571,0.21047619,1,0,0,two_yellow_triangles,0,0,0,30,1,shape,images/2yellowStars.jpg,four_blue_stars,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,4379,-0.151428571,0.21047619,1,0,0,two_yellow_triangles,0,1,1,11,1,shape,images/1redTriangle.jpg,two_yellow_triangles,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
1,2741,-0.151428571,0.21047619,1,0,0,two_yellow_triangles,0,2,2,55,1,shape,images/4greenTriangles.jpg,two_yellow_triangles,MT,001,02/16/2023_11h47.10.050,Wisconsin Card Sorting Task,2022.1.2,Win32,60.11783095,,,,,,
