Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,6052,0.363888889,0.191666667,1,0,0,four_blue_stars,0,0,0,26,1,colour,images/2redStars.jpg,one_red_dot,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
0,4599,-0.092592593,0.198148148,1,0,0,two_yellow_triangles,0,1,1,39,1,colour,images/3greenTriangles.jpg,three_green_crosses,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,3845,-0.102777778,0.180555556,1,0,0,two_yellow_triangles,0,2,2,12,1,colour,images/1yellowCross.jpg,two_yellow_triangles,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,3445,0.152777778,0.230555556,1,0,0,three_green_crosses,0,3,3,54,1,colour,images/4greenStars.jpg,three_green_crosses,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,2029,-0.371296296,0.207407407,1,0,0,one_red_dot,0,4,4,41,1,colour,images/3redDots.jpg,one_red_dot,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,2612,0.093518519,0.212962963,1,0,0,three_green_crosses,0,5,5,20,1,colour,images/2greenCrosses.jpg,three_green_crosses,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,2162,0.341666667,0.234259259,1,0,0,four_blue_stars,0,6,6,3,1,colour,images/1blueTriangle.jpg,four_blue_stars,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
,,,,,,,,,,,,,,,,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,0,0,0,0,1,0:64
0,2137,-0.306481481,0.189814815,1,0,0,one_red_dot,0,0,0,27,1,number,images/2redTriangles.jpg,two_yellow_triangles,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
0,2412,-0.152777778,0.190740741,1,0,0,two_yellow_triangles,0,1,1,63,1,number,images/4yellowTriangles.jpg,four_blue_stars,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
0,2145,-0.152777778,0.190740741,1,0,0,two_yellow_triangles,0,2,2,45,1,number,images/3yellowDots.jpg,three_green_crosses,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
0,4800,-0.350925926,0.194444444,1,0,0,one_red_dot,0,3,3,57,1,number,images/4redDots.jpg,four_blue_stars,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
0,4545,0.10462963,0.208333333,1,0,0,three_green_crosses,0,4,4,22,1,number,images/2greenStars.jpg,two_yellow_triangles,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,2898,0.309259259,0.22037037,1,0,0,four_blue_stars,0,5,5,54,1,number,images/4greenStars.jpg,four_blue_stars,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
0,8495,-0.349074074,0.218518519,1,0,0,one_red_dot,0,6,6,21,1,number,images/2greenDots.jpg,two_yellow_triangles,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
,,,,,,,,,,,,,,,,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,0,1,1,1,1,64:128
1,2600,0.355555556,0.201851852,1,0,0,four_blue_stars,0,0,0,10,1,shape,images/1redStar.jpg,four_blue_stars,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,10366,-0.112962963,0.188888889,1,0,0,two_yellow_triangles,0,1,1,27,1,shape,images/2redTriangles.jpg,two_yellow_triangles,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,4195,0.142592593,0.211111111,1,0,0,three_green_crosses,0,2,2,12,1,shape,images/1yellowCross.jpg,three_green_crosses,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
1,3379,0.367592593,0.209259259,1,0,0,four_blue_stars,0,3,3,26,1,shape,images/2redStars.jpg,four_blue_stars,5,001,2023-10-31_17h32.39.830,Wisconsin Card Sorting Task,2022.1.2,Win32,59.97720866,,,,,,
