Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,2363,0.422963294,0.28447784,1,0,0,four_blue_stars,0,0,0,60,1,colour,images/4yellowCrosses.jpg,two_yellow_triangles,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
1,1398,0.154779595,0.219138547,1,0,0,three_green_crosses,0,1,1,6,1,colour,images/1greenStar.jpg,three_green_crosses,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
0,3083,0.367376096,0.23474196,1,0,0,four_blue_stars,0,2,2,54,1,colour,images/4greenStars.jpg,three_green_crosses,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
1,1293,0.157705218,0.225965036,1,0,0,three_green_crosses,0,3,3,20,1,colour,images/2greenCrosses.jpg,three_green_crosses,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
0,6715,-0.102676712,0.259122296,1,0,0,two_yellow_triangles,0,4,4,18,1,colour,images/2blueStars.jpg,four_blue_stars,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
0,1726,-0.413769802,0.245469298,1,0,0,one_red_dot,0,5,5,44,1,colour,images/3yellowCrosses.jpg,two_yellow_triangles,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
0,11398,0.123572875,0.217188113,1,0,0,three_green_crosses,0,6,6,59,1,colour,images/4redTriangles.jpg,one_red_dot,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
,,,,,,,,,,,,,,,,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,0,0,0,0,1,0:64
1,2412,-0.337703152,0.236692393,1,0,0,one_red_dot,0,0,0,1,1,number,images/1blueDot.jpg,one_red_dot,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
1,5774,0.42881454,0.282527407,1,0,0,four_blue_stars,0,1,1,61,1,number,images/4yellowDots.jpg,four_blue_stars,AH,001,2022-11-25_14h24.28.991,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0060006,,,,,,
