Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,4956,0.140625,0.2265625,1,0,0,three_green_crosses,0,0,0,55,1,number,images/4greenTriangles.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
0,8332,0.361979167,0.225260417,1,0,0,four_blue_stars,0,1,1,34,1,number,images/3blueStars.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,19891,0.372395833,0.243489583,1,0,0,four_blue_stars,0,2,2,57,1,number,images/4redDots.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,7021,0.354166667,0.268229167,1,0,0,four_blue_stars,0,3,3,59,1,number,images/4redTriangles.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,4225,-0.1015625,0.223958333,1,0,0,two_yellow_triangles,0,4,4,25,1,number,images/2redDots.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2757,-0.158854167,0.217447917,1,0,0,two_yellow_triangles,0,5,5,17,1,number,images/2blueDots.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2304,-0.373697917,0.235677083,1,0,0,one_red_dot,0,6,6,14,1,number,images/1yellowStar.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
,,,,,,,,,,,,,,,,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,0,0,0,1,1,64:128
0,2682,-0.388020833,0.248697917,1,0,0,one_red_dot,0,0,0,15,1,colour,images/1yellowTriangle.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,5626,0.08203125,0.263020833,1,0,0,three_green_crosses,0,1,1,5,1,colour,images/1greenDot.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2792,-0.341145833,0.221354167,1,0,0,one_red_dot,0,2,2,11,1,colour,images/1redTriangle.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,4723,0.123697917,0.221354167,1,0,0,three_green_crosses,0,3,3,4,1,colour,images/1greenCross.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2328,0.095052083,0.19921875,1,0,0,three_green_crosses,0,4,4,39,1,colour,images/3greenTriangles.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2366,-0.12890625,0.220052083,1,0,0,two_yellow_triangles,0,5,5,45,1,colour,images/3yellowDots.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2792,-0.338541667,0.20703125,1,0,0,one_red_dot,0,6,6,41,1,colour,images/3redDots.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
,,,,,,,,,,,,,,,,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,0,1,1,0,1,0:64
1,2484,0.393229167,0.24609375,1,0,0,four_blue_stars,0,0,0,18,1,shape,images/2blueStars.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
0,2089,0.135416667,0.239583333,1,0,0,three_green_crosses,0,1,1,5,1,shape,images/1greenDot.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,4367,-0.348958333,0.22265625,1,0,0,one_red_dot,0,2,2,13,1,shape,images/1yellowDot.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2590,0.352864583,0.1953125,1,0,0,four_blue_stars,0,3,3,62,1,shape,images/4yellowStars.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
0,3583,0.140625,0.2265625,1,0,0,three_green_crosses,0,4,4,35,1,shape,images/3blueTriangles.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
0,3524,0.140625,0.2265625,1,0,0,three_green_crosses,0,5,5,23,1,shape,images/2greenTriangles.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
0,3812,-0.125,0.244791667,1,0,0,two_yellow_triangles,0,6,6,24,1,shape,images/2redCrosses.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
,,,,,,,,,,,,,,,,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,0,2,2,2,1,128:192
0,2685,-0.130208333,0.196614583,1,0,0,two_yellow_triangles,0,0,0,15,1,number,images/1yellowTriangle.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,4189,0.102864583,0.22265625,1,0,0,three_green_crosses,0,1,1,47,1,number,images/3yellowTriangles.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,4292,-0.138020833,0.19921875,1,0,0,two_yellow_triangles,0,2,2,26,1,number,images/2redStars.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,3359,-0.39453125,0.243489583,1,0,0,one_red_dot,0,3,3,14,1,number,images/1yellowStar.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2223,0.33984375,0.184895833,1,0,0,four_blue_stars,0,4,4,53,1,number,images/4greenDots.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2633,-0.088541667,0.220052083,1,0,0,two_yellow_triangles,0,5,5,21,1,number,images/2greenDots.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2328,-0.384114583,0.248697917,1,0,0,one_red_dot,0,6,6,10,1,number,images/1redStar.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
,,,,,,,,,,,,,,,,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,1,0,3,1,1,64:128
0,2603,-0.174479167,0.21875,1,0,0,two_yellow_triangles,0,0,0,19,1,colour,images/2blueTriangles.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2933,0.11328125,0.22265625,1,0,0,three_green_crosses,0,1,1,23,1,colour,images/2greenTriangles.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2493,-0.3828125,0.2421875,1,0,0,one_red_dot,0,2,2,24,1,colour,images/2redCrosses.jpg,one_red_dot,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2123,-0.127604167,0.21875,1,0,0,two_yellow_triangles,0,3,3,15,1,colour,images/1yellowTriangle.jpg,two_yellow_triangles,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2491,0.403645833,0.235677083,1,0,0,four_blue_stars,0,4,4,32,1,colour,images/3blueCrosses.jpg,four_blue_stars,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2601,0.088541667,0.22265625,1,0,0,three_green_crosses,0,5,5,21,1,colour,images/2greenDots.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
1,2089,0.123697917,0.240885417,1,0,0,three_green_crosses,0,6,6,4,1,colour,images/1greenCross.jpg,three_green_crosses,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,,,,,,
,,,,,,,,,,,,,,,,Ferlo,001,2023-11-22_10h49.44.892,Wisconsin Card Sorting Task,2022.1.2,Win32,60.55468088,1,1,4,0,1,0:64
