Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
1,3526,0.105017994,0.249356333,1,0,0,three_green_crosses,0,0,0,28,1,shape,images/2yellowCrosses.jpg,three_green_crosses,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,2346,-0.444996587,0.274672416,1,0,0,one_red_dot,0,1,1,21,1,shape,images/2greenDots.jpg,one_red_dot,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,1615,-0.03505639,0.254974902,1,0,0,two_yellow_triangles,0,2,2,15,1,shape,images/1yellowTriangle.jpg,two_yellow_triangles,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,2216,0.208704857,0.244088943,1,0,0,three_green_crosses,0,3,3,12,1,shape,images/1yellowCross.jpg,three_green_crosses,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,1637,0.339573048,0.245122839,1,0,0,four_blue_stars,0,4,4,34,1,shape,images/3blueStars.jpg,four_blue_stars,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,1864,-0.334835307,0.227077032,1,0,0,one_red_dot,0,5,5,33,1,shape,images/3blueDots.jpg,one_red_dot,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,2084,0.295752857,0.23585369,1,0,0,four_blue_stars,0,6,6,58,1,shape,images/4redStars.jpg,four_blue_stars,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,0,0,0,2,1,128:192
1,1964,0.317152913,0.231564501,1,0,0,four_blue_stars,0,0,0,54,1,number,images/4greenStars.jpg,four_blue_stars,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
0,2401,0.360006827,0.250653613,1,0,0,four_blue_stars,0,1,1,30,1,number,images/2yellowStars.jpg,two_yellow_triangles,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
0,2036,-0.315954138,0.234625131,1,0,0,one_red_dot,0,2,2,26,1,number,images/2redStars.jpg,two_yellow_triangles,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,1932,0.129300266,0.248902667,1,0,0,three_green_crosses,0,3,3,43,1,number,images/3redTriangles.jpg,three_green_crosses,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,1748,-0.083217254,0.240544552,1,0,0,two_yellow_triangles,0,4,4,19,1,number,images/2blueTriangles.jpg,two_yellow_triangles,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
0,1785,0.109957547,0.244726054,1,0,0,three_green_crosses,0,5,5,4,1,number,images/1greenCross.jpg,one_red_dot,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,2165,0.321924732,0.273767033,1,0,0,four_blue_stars,0,6,6,50,1,number,images/4blueStars.jpg,four_blue_stars,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,0,1,1,1,1,64:128
0,1790,-0.28578446,0.193916745,1,0,0,one_red_dot,0,0,0,1,1,colour,images/1blueDot.jpg,four_blue_stars,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
0,2099,0.360610623,0.263500355,1,0,0,four_blue_stars,0,1,1,55,1,colour,images/4greenTriangles.jpg,three_green_crosses,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,3143,-0.090252686,0.224317056,1,0,0,two_yellow_triangles,0,2,2,31,1,colour,images/2yellowTriangles.jpg,two_yellow_triangles,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,1999,0.339001917,0.249790842,1,0,0,four_blue_stars,0,3,3,34,1,colour,images/3blueStars.jpg,four_blue_stars,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
1,1964,-0.336603461,0.225990634,1,0,0,one_red_dot,0,4,4,27,1,colour,images/2redTriangles.jpg,one_red_dot,Laura,001,2023-06-26_12h38.52.686,Wisconsin Card Sorting Task,2022.1.2,MacIntel,60.0024001,,,,,,
