Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,4733,-0.125925926,0.25462963,1,0,0,two_yellow_triangles,0,0,0,11,1,colour,images/1redTriangle.jpg,one_red_dot,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
1,2814,-0.078703704,0.193518519,1,0,0,two_yellow_triangles,0,1,1,46,1,colour,images/3yellowStars.jpg,two_yellow_triangles,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
1,3089,0.102777778,0.252777778,1,0,0,three_green_crosses,0,2,2,53,1,colour,images/4greenDots.jpg,three_green_crosses,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
0,3417,-0.37962963,0.266666667,1,0,0,one_red_dot,0,3,3,29,1,colour,images/2yellowDots.jpg,two_yellow_triangles,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
1,2909,-0.355555556,0.218518519,1,0,0,one_red_dot,0,4,4,26,1,colour,images/2redStars.jpg,one_red_dot,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
1,3189,0.396296296,0.285185185,1,0,0,four_blue_stars,0,5,5,35,1,colour,images/3blueTriangles.jpg,four_blue_stars,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
1,4600,0.406481481,0.257407407,1,0,0,four_blue_stars,0,6,6,0,1,colour,images/1blueCross.jpg,four_blue_stars,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
,,,,,,,,,,,,,,,,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,0,0,0,0,1,0:64
0,2695,-0.103703704,0.3,1,0,0,two_yellow_triangles,0,0,0,13,1,number,images/1yellowDot.jpg,one_red_dot,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
0,2941,-0.123148148,0.263888889,1,0,0,two_yellow_triangles,0,1,1,15,1,number,images/1yellowTriangle.jpg,one_red_dot,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
1,3907,0.12962963,0.260185185,1,0,0,three_green_crosses,0,2,2,32,1,number,images/3blueCrosses.jpg,three_green_crosses,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
1,2757,-0.372222222,0.266666667,1,0,0,one_red_dot,0,3,3,6,1,number,images/1greenStar.jpg,one_red_dot,Ramon,001,2022-06-24_16h49.49.737,Wisconsin Card Sorting Task,2022.1.2,Win32,59.9880024,,,,,,
