Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,2427,-0.116326531,0.212244898,1,0,0,two_yellow_triangles,0,0,0,15,1,number,images/1yellowTriangle.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,4893,0.109183673,0.214285714,1,0,0,three_green_crosses,0,1,1,33,1,number,images/3blueDots.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,3144,0.354081633,0.210204082,1,0,0,four_blue_stars,0,2,2,54,1,number,images/4greenStars.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,1944,0.384693878,0.258163265,1,0,0,four_blue_stars,0,3,3,62,1,number,images/4yellowStars.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,1981,-0.13877551,0.224489796,1,0,0,two_yellow_triangles,0,4,4,25,1,number,images/2redDots.jpg,two_yellow_triangles,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2111,0.359183673,0.273469388,1,0,0,four_blue_stars,0,5,5,63,1,number,images/4yellowTriangles.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,1895,-0.140816327,0.216326531,1,0,0,two_yellow_triangles,0,6,6,17,1,number,images/2blueDots.jpg,two_yellow_triangles,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
,,,,,,,,,,,,,,,,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,0,0,0,1,1,64:128
0,2039,-0.386734694,0.219387755,1,0,0,one_red_dot,0,0,0,12,1,shape,images/1yellowCross.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
0,3168,-0.121428571,0.196938776,1,0,0,two_yellow_triangles,0,1,1,46,1,shape,images/3yellowStars.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
0,1760,0.178571429,0.175510204,1,0,0,three_green_crosses,0,2,2,34,1,shape,images/3blueStars.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,4193,0.12755102,0.214285714,1,0,0,three_green_crosses,0,3,3,0,1,shape,images/1blueCross.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2078,-0.351020408,0.190816327,1,0,0,one_red_dot,0,4,4,29,1,shape,images/2yellowDots.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2163,0.141836735,0.225510204,1,0,0,three_green_crosses,0,5,5,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2730,-0.097959184,0.156122449,1,0,0,two_yellow_triangles,0,6,6,43,1,shape,images/3redTriangles.jpg,two_yellow_triangles,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
,,,,,,,,,,,,,,,,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,0,1,1,2,1,128:192
0,2093,0.137755102,0.203061224,1,0,0,three_green_crosses,0,0,0,24,1,colour,images/2redCrosses.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
0,2595,-0.132653061,0.196938776,1,0,0,two_yellow_triangles,0,1,1,43,1,colour,images/3redTriangles.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
0,1911,0.126530612,0.220408163,1,0,0,three_green_crosses,0,2,2,41,1,colour,images/3redDots.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2200,0.124489796,0.212244898,1,0,0,three_green_crosses,0,3,3,23,1,colour,images/2greenTriangles.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,1911,0.376530612,0.233673469,1,0,0,four_blue_stars,0,4,4,16,1,colour,images/2blueCrosses.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,1994,-0.125510204,0.2,1,0,0,two_yellow_triangles,0,5,5,28,1,colour,images/2yellowCrosses.jpg,two_yellow_triangles,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2829,0.371428571,0.186734694,1,0,0,four_blue_stars,0,6,6,1,1,colour,images/1blueDot.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
,,,,,,,,,,,,,,,,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,0,2,2,0,1,0:64
1,3067,-0.375510204,0.203061224,1,0,0,one_red_dot,0,0,0,41,1,shape,images/3redDots.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,3232,-0.145918367,0.207142857,1,0,0,two_yellow_triangles,0,1,1,51,1,shape,images/4blueTriangles.jpg,two_yellow_triangles,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
0,2944,-0.340816327,0.179591837,1,0,0,one_red_dot,0,2,2,40,1,shape,images/3redCrosses.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,3150,-0.364285714,0.189795918,1,0,0,one_red_dot,0,3,3,57,1,shape,images/4redDots.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2980,-0.12755102,0.171428571,1,0,0,two_yellow_triangles,0,4,4,47,1,shape,images/3yellowTriangles.jpg,two_yellow_triangles,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2079,0.392857143,0.242857143,1,0,0,four_blue_stars,0,5,5,42,1,shape,images/3redStars.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2130,0.144897959,0.21122449,1,0,0,three_green_crosses,0,6,6,16,1,shape,images/2blueCrosses.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
,,,,,,,,,,,,,,,,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,1,0,3,2,1,128:192
0,2302,0.392857143,0.25,1,0,0,four_blue_stars,0,0,0,10,1,colour,images/1redStar.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
0,3296,-0.141836735,0.242857143,1,0,0,two_yellow_triangles,0,1,1,35,1,colour,images/3blueTriangles.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2095,0.101020408,0.18877551,1,0,0,three_green_crosses,0,2,2,53,1,colour,images/4greenDots.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,1780,0.12755102,0.202040816,1,0,0,three_green_crosses,0,3,3,38,1,colour,images/3greenStars.jpg,three_green_crosses,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,1649,-0.152040816,0.206122449,1,0,0,two_yellow_triangles,0,4,4,15,1,colour,images/1yellowTriangle.jpg,two_yellow_triangles,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2768,0.374489796,0.212244898,1,0,0,four_blue_stars,0,5,5,49,1,colour,images/4blueDots.jpg,four_blue_stars,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
1,2921,-0.351020408,0.234693878,1,0,0,one_red_dot,0,6,6,58,1,colour,images/4redStars.jpg,one_red_dot,,001,2022-07-18_15h13.05.043,Wisconsin Card Sorting Task,2022.1.2,iPhone,62.5,,,,,,
