Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,2873,-0.0828125,0.205525716,1,0,0,two_yellow_triangles,0,0,0,46,1,number,images/3yellowStars.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,5226,-0.142434353,0.183789062,1,0,0,two_yellow_triangles,0,1,1,31,1,number,images/2yellowTriangles.jpg,two_yellow_triangles,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
0,2772,-0.167377387,0.19003635,1,0,0,two_yellow_triangles,0,2,2,59,1,number,images/4redTriangles.jpg,four_blue_stars,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2140,0.134605577,0.212982856,1,0,0,three_green_crosses,0,3,3,39,1,number,images/3greenTriangles.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,3573,0.094156901,0.193801541,1,0,0,three_green_crosses,0,4,4,44,1,number,images/3yellowCrosses.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2658,0.093649631,0.193801541,1,0,0,three_green_crosses,0,5,5,38,1,number,images/3greenStars.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2347,-0.056542969,0.219436306,1,0,0,two_yellow_triangles,0,6,6,18,1,number,images/2blueStars.jpg,two_yellow_triangles,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
,,,,,,,,,,,,,,,,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,0,0,0,1,1,64:128
0,2039,0.439466688,0.21371799,1,0,0,four_blue_stars,0,0,0,53,1,shape,images/4greenDots.jpg,one_red_dot,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
0,2477,-0.349709744,0.246731228,1,0,0,one_red_dot,0,1,1,8,1,shape,images/1redCross.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2406,-0.340361871,0.227983941,1,0,0,one_red_dot,0,2,2,33,1,shape,images/3blueDots.jpg,one_red_dot,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,3233,0.073678928,0.178447808,1,0,0,three_green_crosses,0,3,3,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2576,0.0972602,0.204508464,1,0,0,three_green_crosses,0,4,4,44,1,shape,images/3yellowCrosses.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2079,-0.063872613,0.245087348,1,0,0,two_yellow_triangles,0,5,5,43,1,shape,images/3redTriangles.jpg,two_yellow_triangles,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2866,-0.341596137,0.199660916,1,0,0,one_red_dot,0,6,6,21,1,shape,images/2greenDots.jpg,one_red_dot,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
,,,,,,,,,,,,,,,,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,0,1,1,2,1,128:192
0,3716,0.41809082,0.250472005,1,0,0,four_blue_stars,0,0,0,26,1,colour,images/2redStars.jpg,one_red_dot,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,5397,-0.138734266,0.23784451,1,0,0,two_yellow_triangles,0,1,1,62,1,colour,images/4yellowStars.jpg,two_yellow_triangles,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2242,-0.088764106,0.225056966,1,0,0,two_yellow_triangles,0,2,2,12,1,colour,images/1yellowCross.jpg,two_yellow_triangles,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,5833,0.093400065,0.201038954,1,0,0,three_green_crosses,0,3,3,23,1,colour,images/2greenTriangles.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2240,-0.134380425,0.196950955,1,0,0,two_yellow_triangles,0,4,4,44,1,colour,images/3yellowCrosses.jpg,two_yellow_triangles,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2743,0.064181858,0.309909397,1,0,0,three_green_crosses,0,5,5,20,1,colour,images/2greenCrosses.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2494,0.104985894,0.267971463,1,0,0,three_green_crosses,0,6,6,5,1,colour,images/1greenDot.jpg,three_green_crosses,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
,,,,,,,,,,,,,,,,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,0,2,2,0,1,0:64
1,2643,0.300756836,0.236865234,1,0,0,four_blue_stars,0,0,0,35,1,colour,images/3blueTriangles.jpg,four_blue_stars,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
1,2942,0.449405924,0.290662977,1,0,0,four_blue_stars,0,1,1,17,1,colour,images/2blueDots.jpg,four_blue_stars,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
0,3642,-0.328887261,0.219802517,1,0,0,one_red_dot,0,2,2,29,1,colour,images/2yellowDots.jpg,two_yellow_triangles,agc,001,2023-11-13_13h50.33.813,Wisconsin Card Sorting Task,2022.1.2,MacIntel,59.99880002,,,,,,
