Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,2377,0.1,0.196666667,1,0,0,three_green_crosses,0,0,0,22,1,shape,images/2greenStars.jpg,four_blue_stars,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,3130,-0.105555556,0.211111111,1,0,0,two_yellow_triangles,0,1,1,3,1,shape,images/1blueTriangle.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2022,0.074444444,0.261111111,1,0,0,three_green_crosses,0,2,2,48,1,shape,images/4blueCrosses.jpg,three_green_crosses,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2261,0.434444444,0.264444444,1,0,0,four_blue_stars,0,3,3,62,1,shape,images/4yellowStars.jpg,four_blue_stars,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,1861,0.111111111,0.221111111,1,0,0,three_green_crosses,0,4,4,20,1,shape,images/2greenCrosses.jpg,three_green_crosses,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2247,-0.336666667,0.245555556,1,0,0,one_red_dot,0,5,5,45,1,shape,images/3yellowDots.jpg,one_red_dot,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,1997,-0.157777778,0.244444444,1,0,0,two_yellow_triangles,0,6,6,43,1,shape,images/3redTriangles.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
,,,,,,,,,,,,,,,,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,0,0,0,2,1,128:192
0,2350,-0.328888889,0.247777778,1,0,0,one_red_dot,0,0,0,25,1,number,images/2redDots.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
0,4412,-0.157777778,0.243333333,1,0,0,two_yellow_triangles,0,1,1,14,1,number,images/1yellowStar.jpg,one_red_dot,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,1763,-0.437777778,0.22,1,0,0,one_red_dot,0,2,2,4,1,number,images/1greenCross.jpg,one_red_dot,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2321,0.103333333,0.225555556,1,0,0,three_green_crosses,0,3,3,34,1,number,images/3blueStars.jpg,three_green_crosses,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2111,-0.367777778,0.233333333,1,0,0,one_red_dot,0,4,4,6,1,number,images/1greenStar.jpg,one_red_dot,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,1882,-0.123333333,0.246666667,1,0,0,two_yellow_triangles,0,5,5,23,1,number,images/2greenTriangles.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2244,0.321111111,0.224444444,1,0,0,four_blue_stars,0,6,6,54,1,number,images/4greenStars.jpg,four_blue_stars,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
,,,,,,,,,,,,,,,,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,0,1,1,1,1,64:128
0,2073,-0.075555556,0.228888889,1,0,0,two_yellow_triangles,0,0,0,16,1,colour,images/2blueCrosses.jpg,four_blue_stars,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2005,-0.076666667,0.248888889,1,0,0,two_yellow_triangles,0,1,1,47,1,colour,images/3yellowTriangles.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2090,0.101111111,0.228888889,1,0,0,three_green_crosses,0,2,2,37,1,colour,images/3greenDots.jpg,three_green_crosses,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
0,2011,0.088888889,0.231111111,1,0,0,three_green_crosses,0,3,3,12,1,colour,images/1yellowCross.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,2518,0.33,0.247777778,1,0,0,four_blue_stars,0,4,4,48,1,colour,images/4blueCrosses.jpg,four_blue_stars,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,1923,-0.181111111,0.237777778,1,0,0,two_yellow_triangles,0,5,5,62,1,colour,images/4yellowStars.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
1,1702,-0.071111111,0.23,1,0,0,two_yellow_triangles,0,6,6,63,1,colour,images/4yellowTriangles.jpg,two_yellow_triangles,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,,,,,,
,,,,,,,,,,,,,,,,cd,001,2022-06-09_10h30.10.700,Wisconsin Card Sorting Task,2022.1.2,MacIntel,33.33333333,0,2,2,0,1,0:64
