Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,2594,-0.131481481,0.193518519,1,0,0,two_yellow_triangles,0,0,0,17,1,shape,images/2blueDots.jpg,one_red_dot,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,4182,0.316666667,0.237037037,1,0,0,four_blue_stars,0,1,1,10,1,shape,images/1redStar.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2080,0.041666667,0.20462963,1,0,0,three_green_crosses,0,2,2,52,1,shape,images/4greenCrosses.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2465,0.355555556,0.221296296,1,0,0,four_blue_stars,0,3,3,14,1,shape,images/1yellowStar.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2999,-0.113888889,0.224074074,1,0,0,two_yellow_triangles,0,4,4,27,1,shape,images/2redTriangles.jpg,two_yellow_triangles,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2099,0.107407407,0.251851852,1,0,0,three_green_crosses,0,5,5,36,1,shape,images/3greenCrosses.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2217,-0.433333333,0.237037037,1,0,0,one_red_dot,0,6,6,9,1,shape,images/1redDot.jpg,one_red_dot,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,0,0,0,2,1,128:192
0,2311,0.328703704,0.225,1,0,0,four_blue_stars,0,0,0,22,1,colour,images/2greenStars.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,3498,-0.349074074,0.248148148,1,0,0,one_red_dot,0,1,1,5,1,colour,images/1greenDot.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,3949,0.383333333,0.231481481,1,0,0,four_blue_stars,0,2,2,59,1,colour,images/4redTriangles.jpg,one_red_dot,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2181,-0.047222222,0.211111111,1,0,0,two_yellow_triangles,0,3,3,13,1,colour,images/1yellowDot.jpg,two_yellow_triangles,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2516,0.341666667,0.209259259,1,0,0,four_blue_stars,0,4,4,1,1,colour,images/1blueDot.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,3115,0.389814815,0.248148148,1,0,0,four_blue_stars,0,5,5,14,1,colour,images/1yellowStar.jpg,two_yellow_triangles,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2249,0.140740741,0.210185185,1,0,0,three_green_crosses,0,6,6,23,1,colour,images/2greenTriangles.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,0,1,1,0,1,0:64
0,5843,-0.340740741,0.221296296,1,0,0,one_red_dot,0,0,0,42,1,number,images/3redStars.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,3732,0.390740741,0.233333333,1,0,0,four_blue_stars,0,1,1,6,1,number,images/1greenStar.jpg,one_red_dot,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2698,0.138888889,0.212962963,1,0,0,three_green_crosses,0,2,2,35,1,number,images/3blueTriangles.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2798,0.374074074,0.246296296,1,0,0,four_blue_stars,0,3,3,56,1,number,images/4redCrosses.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3532,0.167592593,0.237962963,1,0,0,three_green_crosses,0,4,4,46,1,number,images/3yellowStars.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2182,-0.030555556,0.228703704,1,0,0,two_yellow_triangles,0,5,5,31,1,number,images/2yellowTriangles.jpg,two_yellow_triangles,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2231,0.375925926,0.218518519,1,0,0,four_blue_stars,0,6,6,54,1,number,images/4greenStars.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,0,2,2,1,1,64:128
1,2211,0.19537037,0.231481481,1,0,0,three_green_crosses,0,0,0,43,1,number,images/3redTriangles.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2215,-0.322222222,0.185185185,1,0,0,one_red_dot,0,1,1,2,1,number,images/1blueStar.jpg,one_red_dot,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,1832,-0.314814815,0.188888889,1,0,0,one_red_dot,0,2,2,3,1,number,images/1blueTriangle.jpg,one_red_dot,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2065,0.126851852,0.200925926,1,0,0,three_green_crosses,0,3,3,36,1,number,images/3greenCrosses.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,1898,-0.157407407,0.209259259,1,0,0,two_yellow_triangles,0,4,4,19,1,number,images/2blueTriangles.jpg,two_yellow_triangles,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3181,0.347222222,0.212037037,1,0,0,four_blue_stars,0,5,5,57,1,number,images/4redDots.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2697,0.334259259,0.214814815,1,0,0,four_blue_stars,0,6,6,61,1,number,images/4yellowDots.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,1,0,3,1,1,64:128
0,3041,0.310185185,0.213888889,1,0,0,four_blue_stars,0,0,0,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,2715,0.15,0.216666667,1,0,0,three_green_crosses,0,1,1,53,1,shape,images/4greenDots.jpg,one_red_dot,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2832,0.351851852,0.197222222,1,0,0,four_blue_stars,0,2,2,30,1,shape,images/2yellowStars.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3000,0.123148148,0.223148148,1,0,0,three_green_crosses,0,3,3,8,1,shape,images/1redCross.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2549,0.123148148,0.223148148,1,0,0,three_green_crosses,0,4,4,20,1,shape,images/2greenCrosses.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2600,0.399074074,0.22037037,1,0,0,four_blue_stars,0,5,5,18,1,shape,images/2blueStars.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3251,0.094444444,0.262962963,1,0,0,three_green_crosses,0,6,6,0,1,shape,images/1blueCross.jpg,three_green_crosses,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,1,1,4,2,1,128:192
1,2840,0.351851852,0.269444444,1,0,0,four_blue_stars,0,0,0,50,1,colour,images/4blueStars.jpg,four_blue_stars,grn,001,2022-05-12_16h21.58.569,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
