Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
1,4193,-0.105555556,0.16,1,0,0,two_yellow_triangles,0,0,0,28,1,colour,images/2yellowCrosses.jpg,two_yellow_triangles,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
0,2581,-0.36,0.291111111,1,0,0,one_red_dot,0,1,1,14,1,colour,images/1yellowStar.jpg,two_yellow_triangles,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
0,2316,-0.097777778,0.172222222,1,0,0,two_yellow_triangles,0,2,2,27,1,colour,images/2redTriangles.jpg,one_red_dot,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
1,6249,0.145555556,0.243333333,1,0,0,three_green_crosses,0,3,3,6,1,colour,images/1greenStar.jpg,three_green_crosses,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
0,3833,0.352222222,0.207777778,1,0,0,four_blue_stars,0,4,4,62,1,colour,images/4yellowStars.jpg,two_yellow_triangles,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
1,2983,-0.087777778,0.225555556,1,0,0,two_yellow_triangles,0,5,5,29,1,colour,images/2yellowDots.jpg,two_yellow_triangles,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
0,2915,0.364444444,0.266666667,1,0,0,four_blue_stars,0,6,6,54,1,colour,images/4greenStars.jpg,three_green_crosses,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
,,,,,,,,,,,,,,,,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,0,0,0,0,1,0:64
0,2660,-0.116666667,0.201111111,1,0,0,two_yellow_triangles,0,0,0,29,1,shape,images/2yellowDots.jpg,one_red_dot,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
1,4182,-0.343333333,0.268888889,1,0,0,one_red_dot,0,1,1,49,1,shape,images/4blueDots.jpg,one_red_dot,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
1,2766,-0.372222222,0.183333333,1,0,0,one_red_dot,0,2,2,9,1,shape,images/1redDot.jpg,one_red_dot,im,001,2023-10-23_20h14.04.892,Wisconsin Card Sorting Task,2022.1.2,MacIntel,62.5,,,,,,
