Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
0,2088,0.33,0.218888889,1,0,0,four_blue_stars,0,0,0,3,1,shape,images/1blueTriangle.jpg,two_yellow_triangles,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
0,2647,-0.112222222,0.193333333,1,0,0,two_yellow_triangles,0,1,1,28,1,shape,images/2yellowCrosses.jpg,three_green_crosses,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
1,4749,0.308888889,0.196666667,1,0,0,four_blue_stars,0,2,2,54,1,shape,images/4greenStars.jpg,four_blue_stars,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
0,2216,0.33,0.2,1,0,0,four_blue_stars,0,3,3,55,1,shape,images/4greenTriangles.jpg,two_yellow_triangles,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
0,2032,-0.384444444,0.281111111,1,0,0,one_red_dot,0,4,4,42,1,shape,images/3redStars.jpg,four_blue_stars,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
1,2216,-0.327777778,0.206666667,1,0,0,one_red_dot,0,5,5,37,1,shape,images/3greenDots.jpg,one_red_dot,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
1,3097,-0.333333333,0.215555556,1,0,0,one_red_dot,0,6,6,13,1,shape,images/1yellowDot.jpg,one_red_dot,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
,,,,,,,,,,,,,,,,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,0,0,0,2,1,128:192
0,2587,-0.093333333,0.197777778,1,0,0,two_yellow_triangles,0,0,0,63,1,number,images/4yellowTriangles.jpg,four_blue_stars,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
1,2916,0.115555556,0.188888889,1,0,0,three_green_crosses,0,1,1,34,1,number,images/3blueStars.jpg,three_green_crosses,mar,001,2023-11-22_07h27.14.083,Wisconsin Card Sorting Task,2022.1.2,MacIntel,58.82352941,,,,,,
