Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
1,2339,-0.097924773,0.218362039,1,0,0,two_yellow_triangles,0,0,0,31,1,shape,images/2yellowTriangles.jpg,two_yellow_triangles,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2497,0.400500346,0.220214923,1,0,0,four_blue_stars,0,1,1,18,1,shape,images/2blueStars.jpg,four_blue_stars,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2315,-0.403650148,0.293403734,1,0,0,one_red_dot,0,2,2,17,1,shape,images/2blueDots.jpg,one_red_dot,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2087,0.3523254,0.235964428,1,0,0,four_blue_stars,0,3,3,10,1,shape,images/1redStar.jpg,four_blue_stars,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2098,0.394941634,0.227626459,1,0,0,four_blue_stars,0,4,4,2,1,shape,images/1blueStar.jpg,four_blue_stars,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2168,-0.15536408,0.289697966,1,0,0,two_yellow_triangles,0,5,5,35,1,shape,images/3blueTriangles.jpg,two_yellow_triangles,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2315,-0.435149157,0.301741703,1,0,0,one_red_dot,0,6,6,45,1,shape,images/3yellowDots.jpg,one_red_dot,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
,,,,,,,,,,,,,,,,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,0,0,0,2,1,128:192
0,2468,-0.127570839,0.274874933,1,0,0,two_yellow_triangles,0,0,0,3,1,number,images/1blueTriangle.jpg,one_red_dot,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2385,-0.067352176,0.248008144,1,0,0,two_yellow_triangles,0,1,1,31,1,number,images/2yellowTriangles.jpg,two_yellow_triangles,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2365,0.377339285,0.264684081,1,0,0,four_blue_stars,0,2,2,62,1,number,images/4yellowStars.jpg,four_blue_stars,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2277,0.161478599,0.214656291,1,0,0,three_green_crosses,0,3,3,43,1,number,images/3redTriangles.jpg,three_green_crosses,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2003,0.330090791,0.24152306,1,0,0,four_blue_stars,0,4,4,48,1,number,images/4blueCrosses.jpg,four_blue_stars,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2532,-0.112747766,0.273948481,1,0,0,two_yellow_triangles,0,5,5,30,1,number,images/2yellowStars.jpg,two_yellow_triangles,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,1920,0.390309454,0.337872892,1,0,0,four_blue_stars,0,6,6,58,1,number,images/4redStars.jpg,four_blue_stars,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
,,,,,,,,,,,,,,,,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,0,1,1,1,1,64:128
0,2616,-0.384194895,0.289697966,1,0,0,one_red_dot,0,0,0,15,1,colour,images/1yellowTriangle.jpg,two_yellow_triangles,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,3504,-0.384194895,0.287845102,1,0,0,one_red_dot,0,1,1,10,1,colour,images/1redStar.jpg,one_red_dot,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,2128,0.163331503,0.248008144,1,0,0,three_green_crosses,0,2,2,52,1,colour,images/4greenCrosses.jpg,three_green_crosses,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
1,1932,0.306003358,0.244302376,1,0,0,four_blue_stars,0,3,3,48,1,colour,images/4blueCrosses.jpg,four_blue_stars,nicolaj (sdu),001,2022-09-05_11h59.04.925,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,60.02040694,,,,,,
