Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
1,2541,-0.337037021,0.21388888,1,0,0,one_red_dot,0,0,0,17,1,shape,images/2blueDots.jpg,one_red_dot,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
1,2164,-0.092592512,0.195370361,1,0,0,two_yellow_triangles,0,1,1,3,1,shape,images/1blueTriangle.jpg,two_yellow_triangles,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
1,2280,0.375925964,0.226851844,1,0,0,four_blue_stars,0,2,2,18,1,shape,images/2blueStars.jpg,four_blue_stars,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
1,1796,0.136111142,0.229629622,1,0,0,three_green_crosses,0,3,3,36,1,shape,images/3greenCrosses.jpg,three_green_crosses,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
1,2209,-0.306481464,0.224999992,1,0,0,one_red_dot,0,4,4,5,1,shape,images/1greenDot.jpg,one_red_dot,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
1,2127,0.152777809,0.199074065,1,0,0,three_green_crosses,0,5,5,24,1,shape,images/2redCrosses.jpg,three_green_crosses,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
1,2047,-0.345370354,0.231481473,1,0,0,one_red_dot,0,6,6,49,1,shape,images/4blueDots.jpg,one_red_dot,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
,,,,,,,,,,,,,,,,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,0,0,0,2,1,128:192
0,1863,0.105555585,0.206481473,1,0,0,three_green_crosses,0,0,0,32,1,colour,images/3blueCrosses.jpg,four_blue_stars,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
1,2579,-0.077777754,0.232407399,1,0,0,two_yellow_triangles,0,1,1,60,1,colour,images/4yellowCrosses.jpg,two_yellow_triangles,sam,001,2022-05-09_11h42.45.731,Wisconsin Card Sorting Task,2022.1.2,Win32,59.95922773,,,,,,
