Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
1,2920,0.110185185,0.255555556,1,0,0,three_green_crosses,0,0,0,56,1,shape,images/4redCrosses.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,1921,0.110185185,0.255555556,1,0,0,three_green_crosses,0,1,1,32,1,shape,images/3blueCrosses.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,3003,0.37037037,0.210185185,1,0,0,four_blue_stars,0,2,2,6,1,shape,images/1greenStar.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2630,0.37037037,0.210185185,1,0,0,four_blue_stars,0,3,3,26,1,shape,images/2redStars.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2009,0.37037037,0.210185185,1,0,0,four_blue_stars,0,4,4,50,1,shape,images/4blueStars.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,3075,-0.325925926,0.240740741,1,0,0,one_red_dot,0,5,5,21,1,shape,images/2greenDots.jpg,one_red_dot,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2161,-0.325925926,0.240740741,1,0,0,one_red_dot,0,6,6,61,1,shape,images/4yellowDots.jpg,one_red_dot,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
,,,,,,,,,,,,,,,,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,0,0,0,2,1,128:192
1,2446,0.108333333,0.22037037,1,0,0,three_green_crosses,0,0,0,52,1,colour,images/4greenCrosses.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2514,-0.326851852,0.217592593,1,0,0,one_red_dot,0,1,1,57,1,colour,images/4redDots.jpg,one_red_dot,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
0,2925,0.377777778,0.236111111,1,0,0,four_blue_stars,0,2,2,14,1,colour,images/1yellowStar.jpg,two_yellow_triangles,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2455,0.138888889,0.239814815,1,0,0,three_green_crosses,0,3,3,7,1,colour,images/1greenTriangle.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2386,-0.348148148,0.251851852,1,0,0,one_red_dot,0,4,4,27,1,colour,images/2redTriangles.jpg,one_red_dot,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
0,2201,-0.130555556,0.22037037,1,0,0,two_yellow_triangles,0,5,5,19,1,colour,images/2blueTriangles.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2375,0.098148148,0.210185185,1,0,0,three_green_crosses,0,6,6,6,1,colour,images/1greenStar.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
,,,,,,,,,,,,,,,,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,0,1,1,0,1,0:64
0,2189,-0.139814815,0.247222222,1,0,0,two_yellow_triangles,0,0,0,61,1,number,images/4yellowDots.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
0,3053,0.176851852,0.22962963,1,0,0,three_green_crosses,0,1,1,5,1,number,images/1greenDot.jpg,one_red_dot,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,3222,0.164814815,0.219444444,1,0,0,three_green_crosses,0,2,2,41,1,number,images/3redDots.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2678,-0.346296296,0.213888889,1,0,0,one_red_dot,0,3,3,11,1,number,images/1redTriangle.jpg,one_red_dot,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2636,0.175,0.225,1,0,0,three_green_crosses,0,4,4,45,1,number,images/3yellowDots.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2582,-0.115740741,0.278703704,1,0,0,two_yellow_triangles,0,5,5,23,1,number,images/2greenTriangles.jpg,two_yellow_triangles,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,1930,-0.115740741,0.278703704,1,0,0,two_yellow_triangles,0,6,6,20,1,number,images/2greenCrosses.jpg,two_yellow_triangles,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
,,,,,,,,,,,,,,,,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,0,2,2,1,1,64:128
0,2616,0.108333333,0.262037037,1,0,0,three_green_crosses,0,0,0,35,1,shape,images/3blueTriangles.jpg,two_yellow_triangles,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2541,0.35,0.222222222,1,0,0,four_blue_stars,0,1,1,50,1,shape,images/4blueStars.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2023,0.35,0.222222222,1,0,0,four_blue_stars,0,2,2,2,1,shape,images/1blueStar.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
0,4296,0.357407407,0.228703704,1,0,0,four_blue_stars,0,3,3,16,1,shape,images/2blueCrosses.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
0,2549,0.349074074,0.228703704,1,0,0,four_blue_stars,0,4,4,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2840,-0.081481481,0.232407407,1,0,0,two_yellow_triangles,0,5,5,19,1,shape,images/2blueTriangles.jpg,two_yellow_triangles,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
1,2576,0.112962963,0.242592593,1,0,0,three_green_crosses,0,6,6,4,1,shape,images/1greenCross.jpg,three_green_crosses,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
,,,,,,,,,,,,,,,,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,1,0,3,2,1,128:192
0,3352,-0.156481481,0.294444444,1,0,0,two_yellow_triangles,0,0,0,19,1,colour,images/2blueTriangles.jpg,four_blue_stars,utre,001,04-06-2023_12h39.03.221,Wisconsin Card Sorting Task,2022.1.2,Linux x86_64,59.95203837,,,,,,
