Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows
1,2869,-0.203703704,0.309027778,1,0,0,two_yellow_triangles,0,0,0,28,1,colour,images/2yellowCrosses.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,5860,0.175925926,0.229166667,1,0,0,three_green_crosses,0,1,1,32,1,colour,images/3blueCrosses.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2750,0.289351852,0.226851852,1,0,0,four_blue_stars,0,2,2,16,1,colour,images/2blueCrosses.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2769,0.186342593,0.326388889,1,0,0,three_green_crosses,0,3,3,23,1,colour,images/2greenTriangles.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,4687,0.371527778,0.228009259,1,0,0,four_blue_stars,0,4,4,62,1,colour,images/4yellowStars.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2964,0.283564815,0.261574074,1,0,0,four_blue_stars,0,5,5,18,1,colour,images/2blueStars.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2130,0.179398148,0.215277778,1,0,0,three_green_crosses,0,6,6,37,1,colour,images/3greenDots.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,0,0,0,0,1,0:64
0,2720,-0.30787037,0.166666667,1,0,0,one_red_dot,0,0,0,57,1,number,images/4redDots.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3344,0.46412037,0.25462963,1,0,0,four_blue_stars,0,1,1,54,1,number,images/4greenStars.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,2916,0.136574074,0.333333333,1,0,0,three_green_crosses,0,2,2,16,1,number,images/2blueCrosses.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,2807,-0.064814815,0.263888889,1,0,0,two_yellow_triangles,0,3,3,11,1,number,images/1redTriangle.jpg,one_red_dot,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2998,0.429398148,0.229166667,1,0,0,four_blue_stars,0,4,4,50,1,number,images/4blueStars.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,1892,0.429398148,0.229166667,1,0,0,four_blue_stars,0,5,5,18,1,number,images/2blueStars.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,2728,0.219907407,0.233796296,1,0,0,three_green_crosses,0,6,6,24,1,number,images/2redCrosses.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,0,1,1,1,1,64:128
0,1658,0.219907407,0.233796296,1,0,0,three_green_crosses,0,0,0,19,1,shape,images/2blueTriangles.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,1543,-0.136574074,0.210648148,1,0,0,two_yellow_triangles,0,1,1,62,1,shape,images/4yellowStars.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,1664,-0.375,0.172453704,1,0,0,one_red_dot,0,2,2,6,1,shape,images/1greenStar.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,1537,-0.084490741,0.261574074,1,0,0,two_yellow_triangles,0,3,3,5,1,shape,images/1greenDot.jpg,one_red_dot,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2768,-0.128472222,0.206018519,1,0,0,two_yellow_triangles,0,4,4,35,1,shape,images/3blueTriangles.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2112,0.099537037,0.252314815,1,0,0,three_green_crosses,0,5,5,4,1,shape,images/1greenCross.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2307,0.111111111,0.241898148,1,0,0,three_green_crosses,0,6,6,16,1,shape,images/2blueCrosses.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,0,2,2,2,1,128:192
1,3226,-0.05787037,0.229166667,1,0,0,two_yellow_triangles,0,0,0,47,1,shape,images/3yellowTriangles.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,2172,-0.05787037,0.229166667,1,0,0,two_yellow_triangles,0,1,1,46,1,shape,images/3yellowStars.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3053,0.402777778,0.280092593,1,0,0,four_blue_stars,0,2,2,26,1,shape,images/2redStars.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2616,0.204861111,0.271990741,1,0,0,three_green_crosses,0,3,3,36,1,shape,images/3greenCrosses.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2173,0.204861111,0.271990741,1,0,0,three_green_crosses,0,4,4,44,1,shape,images/3yellowCrosses.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3744,0.391203704,0.322916667,1,0,0,four_blue_stars,0,5,5,14,1,shape,images/1yellowStar.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,3080,0.172453704,0.25462963,1,0,0,three_green_crosses,0,6,6,12,1,shape,images/1yellowCross.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
,,,,,,,,,,,,,,,,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,1,0,3,2,1,128:192
0,2876,-0.384259259,0.204861111,1,0,0,one_red_dot,0,0,0,29,1,colour,images/2yellowDots.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,3389,-0.30787037,0.209490741,1,0,0,one_red_dot,0,1,1,14,1,colour,images/1yellowStar.jpg,two_yellow_triangles,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
1,2782,0.357638889,0.236111111,1,0,0,four_blue_stars,0,2,2,2,1,colour,images/1blueStar.jpg,four_blue_stars,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
0,1796,0.357638889,0.236111111,1,0,0,four_blue_stars,0,3,3,6,1,colour,images/1greenStar.jpg,three_green_crosses,w,001,2022-10-03_12h39.48.247,Wisconsin Card Sorting Task,2022.1.2,Win32,60.0240096,,,,,,
