cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,trial_fixation.started,use_rows,clock_digital.started,direction_txt.started,key_resp.started,corr_var,key_resp.keys,key_resp.corr,direction_txt.stopped,key_resp.stopped,rest_txt.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,9.87908440000001,9.87908440000001,s,2.1356806000003417,None,,,,,,,,,,,,,,,,,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
,,,,,,,,,,,,,,,,,,,12.040790699999889,12.040790699999889,1,0.6891019000004235,None,,,,,,,,,,,,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
2,15,52,左下,0,2,0,0,0,0,0,0,0,9,,,,,,,,,,,12.755838499999754,15.155691599999955,61,15.267275199999858,15.349080299999969,15.349080299999969,0,None,0,,,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
1,16,6,右上,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,17.759328899999673,41,18.259462099999837,18.34117339999966,18.34117339999966,0,None,0,20.751661199999944,20.751661199999944,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
2,10,48,左下,0,2,0,0,0,0,0,2,2,6,,,,,,,,,,,,20.768067499999688,15,21.266911100000016,21.349995600000057,21.349995600000057,0,None,0,,,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
2,15,9,右下,0,2,0,0,0,0,0,3,3,0,,,,,,,,,,,,23.760312200000044,92,24.25997499999994,24.342238299999735,24.342238299999735,0,None,0,26.752169200000026,26.752169200000026,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
2,10,38,右上,0,2,0,0,0,0,0,4,4,5,,,,,,,,,,,,26.76887409999972,25,27.26813829999992,27.351022399999692,27.351022399999692,0,None,0,,,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
1,16,36,左下,1,1,0,0,0,0,0,5,5,7,,,,,,,,,,,,29.761337399999775,73,30.26019270000006,30.343146700000034,30.343146700000034,0,None,0,32.75354289999996,32.75354289999996,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
2,17,53,右下,0,2,0,0,0,0,0,6,6,3,,,,,,,,,,,,32.80707419999999,50,33.26867129999982,33.35174579999966,33.35174579999966,0,None,0,,,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
1,14,20,右下,1,1,0,0,0,0,0,7,7,8,,,,,,,,,,,,35.76215460000003,43,36.26083609999978,36.343968099999984,36.343968099999984,0,None,0,38.75427969999964,38.75427969999964,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
1,7,19,右下,1,1,0,0,0,0,0,8,8,4,,,,,,,,,,,,38.77091919999975,38,39.26976829999967,39.352757999999994,39.352757999999994,0,None,0,,,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
1,14,42,左下,1,1,0,0,0,0,0,9,9,2,,,,,,,,,,,,41.76307799999995,88,42.26178320000008,42.34490969999979,42.34490969999979,0,None,0,44.75541159999966,44.75541159999966,,614956,001,2024-02-06_17h43.43.300,clock-master,2023.1.3,60.138077024883394,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.771963499999856,,,,,,,
