cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,corr_var,clock_digital.started,clock_digital.stopped,direction_txt.started,direction_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,15.798027400043793,None,s,1.4565880000009201,15.798027400043793,None,,,,,,,,,,,,,,,,,,,,,,,,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
,,,,,,,,,,,,,,,,,,,,17.27685060002841,None,1,2.4980653999955393,17.27685060002841,None,,,,,,,,,,,,,,,,,,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,19,54,右下,0,2,0,0,0,0,0,0,0,1,,,,,,,,,,,,,19.800413000048138,21.79120800003875,21.79120800003875,None,55,1,22.34865440003341,None,22.44072569999844,None,2,1,1.870511399989482,22.44072569999844,None,24.83927830000175,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,11,40,右下,0,2,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,71,1,25.35086540004704,None,25.455767600040417,None,2,1,1.8417684999876656,25.455767600040417,None,27.854270600015298,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,11,49,右下,0,2,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,32,1,28.35734310001135,None,28.454469400050584,None,2,1,2.110391800000798,28.454469400050584,None,30.852410799998324,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,10,35,左下,1,1,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,35,1,31.370412400050554,None,31.469026200007647,None,1,1,2.217516499978956,31.469026200007647,None,33.86758810002357,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,9,13,右上,1,1,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,74,0,34.37404250004329,None,34.467455200036056,None,2,0,1.6764085000031628,34.467455200036056,None,36.86594340001466,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,10,29,右下,1,1,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,54,0,37.379421500023454,None,37.48248400003649,None,2,0,1.824845600000117,37.48248400003649,None,39.880860100034624,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,9,49,左下,1,1,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,12,1,40.38669860002119,None,40.48096160002751,None,1,1,2.1166074000066146,40.48096160002751,None,42.87916220002808,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,11,50,右上,0,2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,76,1,43.38639040000271,None,43.47899490001146,None,2,1,1.9219137999461964,43.47899490001146,None,45.87746550003067,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,7,18,右下,1,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,1,0,46.39175910002086,None,46.49424349999754,None,None,0,,46.49424349999754,None,48.89244290004717,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,10,49,左下,0,2,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,7,1,49.4009288000525,None,49.49213960004272,None,2,1,2.2662440999993123,49.49213960004272,None,None,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.89052930002799,None,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,13,31,左上,0,2,1,0,1,0,0,0,0,6,,,,,,,,,,,,,81.90781320002861,83.9062531000236,83.9062531000236,None,2,0,84.44238920003409,None,84.53911790001439,None,None,0,,84.53911790001439,None,86.93794100004015,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,17,11,左上,0,2,1,0,1,0,0,1,1,8,,,,,,,,,,,,,,,,,9,0,87.44112250005128,None,87.53767140000127,None,None,0,,87.53767140000127,None,89.93604250001954,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,17,44,左上,0,2,1,0,1,0,0,2,2,4,,,,,,,,,,,,,,,,,70,0,90.43577660003211,None,90.53611410001758,None,None,0,,90.53611410001758,None,92.93460010003764,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
