cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,use_rows,clock_digital.started,direction_txt.started,key_resp.started,corr_var,key_resp.keys,key_resp.corr,trial_fixation.started,(iti duration),(stim duration),direction_txt.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,rest_txt.started,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,18.6205188,18.6205188,s,1.907546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
,,,,,,,,,,,,,,,,,,,20.5599134,20.5599134,1,13.8639559,None,,,,,,,,,,,,,,,,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,19,55,右下,0,2,0,0,0,0,0,0,0,6,,,,,,,,,,,34.4428142,14,37.2397087,37.2397087,37.2397087,0,None,0,,,,,,,,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,14,19,右下,1,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,48,39.9490686,40.0324612,40.0324612,0,None,0,39.4498106,0.499258,2.2101019,42.4352252,42.4352252,,,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,17,29,左下,0,2,0,0,0,0,0,2,2,3,,,,,,,,,,,,38,42.9534132,43.0357819,43.0357819,1,2,1,42.452095,0.5013182,2.5030264,45.4387275,45.4387275,1.8599837,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,8,21,右下,1,1,0,0,0,0,0,3,3,5,,,,,,,,,,,,66,45.9559581,46.0392775,46.0392775,0,2,0,45.4552182,0.5007399,2.501805,48.4420865,48.4420865,2.0889641,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,19,54,右下,0,2,0,0,0,0,0,4,4,9,,,,,,,,,,,,92,48.9591602,49.0427145,49.0427145,1,2,1,48.4586271,0.5005331,2.502669,,,1.6051166,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,17,53,右下,0,2,0,0,0,0,0,5,5,4,,,,,,,,,,,,28,51.9501075,52.0298432,52.0298432,1,2,1,51.4454026,0.5047049,2.4862424,54.4322946,54.4322946,0.7942888,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,8,38,左下,1,1,0,0,0,0,0,6,6,7,,,,,,,,,,,,95,54.9495509,55.0328865,55.0328865,0,2,0,54.4490985,0.5004524,2.498991,57.4360711,57.4360711,1.6474523,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,16,23,右下,1,1,0,0,0,0,0,7,7,8,,,,,,,,,,,,27,57.9657194,58.0366836,58.0366836,0,None,0,57.4535304,0.512189,2.5039795,60.4390921,60.4390921,,,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
