cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,corr_var,clock_digital.started,clock_digital.stopped,direction_txt.started,direction_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,20.752743799999735,None,s,0.7375843999998324,20.752743799999735,None,,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
,,,,,,,,,,,,,,,,,,,,21.50894590000007,None,1,1.526938599999994,21.50894590000007,None,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
2,11,58,右上,0,2,0,0,0,0,0,0,0,9,,,,,,,,,,,,,23.061095399999886,25.054983799999718,25.054983799999718,None,54,0,25.802840899999865,None,25.904412800000046,None,1,0,1.203444700000091,25.904412800000046,None,28.33783719999974,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
2,11,39,左上,0,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,80,0,28.866027999999915,None,28.96932310000011,None,1,0,0.7610390000004372,28.96932310000011,None,31.368018899999697,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
1,14,19,右下,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,14,1,31.894362099999853,None,32.001008100000035,None,1,1,1.132462200000191,32.001008100000035,None,34.39963480000006,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
1,10,29,右下,1,1,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,4,0,34.9195251000001,None,35.01597089999996,None,2,0,0.7864078000002337,35.01597089999996,None,37.41462730000012,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
1,14,20,右下,1,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,38,1,37.92098339999984,None,38.01432990000012,None,1,1,1.2482246999998097,38.01432990000012,None,40.41294749999997,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
1,8,20,右下,1,1,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,6,1,40.91910030000008,None,41.012674999999945,None,1,1,0.9419230999997126,41.012674999999945,None,43.41133799999989,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
2,17,44,左上,0,2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,67,1,43.93475339999986,None,44.02759160000005,None,2,1,0.9239330999998856,44.02759160000005,None,46.42621999999983,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
2,10,28,左下,0,2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,51,1,46.94010239999989,None,47.042499099999986,None,2,1,1.2399492000004102,47.042499099999986,None,49.44118189999972,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
2,11,40,右下,0,2,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,35,1,49.95252440000013,None,50.057570699999815,None,2,1,1.6591567999998915,50.057570699999815,None,52.45620179999969,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
1,9,16,右下,1,1,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,77,1,52.97072440000011,None,53.07254759999978,None,1,1,1.1920582000002469,53.07254759999978,None,55.471057499999915,None,Jocelyn_personal,001,2024_Feb_19_1504,clock-master,2021.1.4,60.02930630719284,
