cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,corr_var,clock_digital.started,clock_digital.stopped,direction_txt.started,direction_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,(iti duration),(stim duration),rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,17.6191992,None,s,0.6759983,17.6191992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
,,,,,,,,,,,,,,,,,,,,18.3266255,None,1,0.4736057,18.3266255,None,,,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,10,56,右上,0,2,0,0,0,0,0,0,0,5,,,,,,,,,,,,,18.8280063,20.823794,20.823794,None,20,1,21.45433,None,21.5564779,None,2,1,1.037013,21.5564779,None,23.9572629,None,0.5249649,2.5029329,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,14,20,右下,1,1,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,56,0,24.4822278,None,24.5881875,None,2,0,0.739032,24.5881875,None,26.9867037,None,0.5133739,2.5044759,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,16,5,右上,1,1,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,38,1,27.5000776,None,27.6031429,None,1,1,0.5025691,27.6031429,None,30.0018576,None,0.5287354,2.50178,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,16,47,左上,1,1,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,16,0,30.530593,None,30.6347315,None,2,0,0.6552306,30.6347315,None,33.0333557,None,0.5190696,2.5027627,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,13,21,右上,0,2,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,17,1,33.5524253,None,33.6497625,None,2,1,0.9006973,33.6497625,None,36.0483763,None,0.5135003,2.495951,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,17,12,左上,0,2,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,48,0,36.5618766,None,36.6653317,None,1,0,1.4250447,36.6653317,None,39.0633713,None,0.5071618,2.5014947,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,14,50,左上,1,1,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,26,1,39.5705331,None,39.663125,None,1,1,0.5938601,39.663125,None,42.0783257,None,0.5136211,2.5077926,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,11,38,左上,0,2,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,,82,1,42.5919468,None,42.6946798,None,2,1,0.6086791,42.6946798,None,45.0934295,None,0.5141164,2.5014827,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,17,30,左下,0,2,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,90,0,45.6075459,None,45.7096468,None,1,0,1.6349764,45.7096468,None,48.1082257,None,0.5126363,2.5006798,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,8,56,左上,1,1,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,89,1,48.620862,None,48.7245793,None,1,1,1.0121451,48.7245793,None,None,None,,2.5029441,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1238061,None,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,11,58,右上,0,2,1,0,1,0,0,0,0,5,,,,,,,,,,,,,81.139858,83.1388681,83.1388681,None,64,0,83.7348229,None,83.8385481,None,1,0,1.2729943,83.8385481,None,86.2377886,None,0.5163973,2.5029657,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,9,49,左下,1,1,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,22,0,86.7541859,None,86.8536891,None,2,0,0.7023064,86.8536891,None,89.2519341,None,0.514972,2.4977482,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,18,25,右下,1,1,1,0,1,0,0,2,2,1,,,,,,,,,,,,,,,,,71,1,89.7669061,None,89.8681185,None,1,1,0.9007532,89.8681185,None,92.2835189,None,0.5056319,2.5166128,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,8,20,右下,1,1,1,0,1,0,0,3,3,9,,,,,,,,,,,,,,,,,32,1,92.7891508,None,92.8833255,None,1,1,1.6646392,92.8833255,None,95.2818789,None,0.5136506,2.4927281,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,15,51,左下,0,2,1,0,1,0,0,4,4,0,,,,,,,,,,,,,,,,,49,1,95.7955295,None,95.8983042,None,2,1,0.7698373,95.8983042,None,98.3467541,None,0.5163795,2.5512246,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,19,54,右下,0,2,1,0,1,0,0,5,5,2,,,,,,,,,,,,,,,,,77,1,98.8631336,None,98.9631477,None,2,1,0.8318892,98.9631477,None,101.3618423,None,0.505457,2.4987087,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,19,55,右下,0,2,1,0,1,0,0,6,6,7,,,,,,,,,,,,,,,,,33,1,101.8672993,None,101.9616126,None,2,1,0.8647604,101.9616126,None,104.3601754,None,0.5091963,2.4928761,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,10,4,右上,1,1,1,0,1,0,0,7,7,6,,,,,,,,,,,,,,,,,95,1,104.8693717,None,104.9764632,None,1,1,0.8317994,104.9764632,None,107.4250787,None,0.5134778,2.555707,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,10,28,右下,1,1,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,11,1,107.9385565,None,108.0413956,None,1,1,1.2276075,108.0413956,None,110.4567314,None,0.5143761,2.5181749,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,10,37,右上,0,2,1,0,1,0,0,9,9,4,,,,,,,,,,,,,,,,,4,1,110.9711075,None,111.0734444,None,2,1,0.648358,111.0734444,None,None,None,,2.5005985,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.471706,None,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,19,10,左下,0,2,2,0,2,0,0,0,0,9,,,,,,,,,,,,,143.4881886,145.4872856,145.4872856,None,2,1,146.0884157,None,146.1867934,None,2,1,0.7490471,146.1867934,None,148.5862562,None,0.5142032,2.4978405,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,10,29,右下,1,1,2,0,2,0,0,1,1,5,,,,,,,,,,,,,,,,,67,1,149.1004594,None,149.2017412,None,1,1,0.7869791,149.2017412,None,151.6004657,None,0.5131517,2.5000063,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,8,55,左上,1,1,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,3,1,152.1136174,None,152.2167195,None,1,1,0.6407184,152.2167195,None,154.6155537,None,0.5130506,2.5019363,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,9,13,右上,1,1,2,0,2,0,0,3,3,4,,,,,,,,,,,,,,,,,12,1,155.1286043,None,155.2318956,None,1,1,0.5767627,155.2318956,None,157.6303497,None,0.5131229,2.5017454,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,10,35,左下,1,1,2,0,2,0,0,4,4,3,,,,,,,,,,,,,,,,,7,0,158.1434726,None,158.2466907,None,2,0,0.5245912,158.2466907,None,160.6457927,None,0.5072798,2.5023201,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,15,52,左下,0,2,2,0,2,0,0,5,5,6,,,,,,,,,,,,,,,,,35,1,161.1530725,None,161.2617608,None,2,1,0.5520644,161.2617608,None,163.6768983,None,0.5148738,2.5238258,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,17,44,左上,0,2,2,0,2,0,0,6,6,1,,,,,,,,,,,,,,,,,88,0,164.1917721,None,164.2937219,None,1,0,0.968853,164.2937219,None,166.6925176,None,0.5068927,2.5007455,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,19,18,左上,0,2,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,94,1,167.1994103,None,167.291677,None,2,1,1.3822197,167.291677,None,169.6901469,None,0.5134707,2.4907366,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
1,8,37,左下,1,1,2,0,2,0,0,8,8,2,,,,,,,,,,,,,,,,,62,1,170.2036176,None,170.3067164,None,1,1,1.168697,170.3067164,None,172.7053948,None,0.51446,2.5017772,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
2,15,22,左上,0,2,2,0,2,0,0,9,9,8,,,,,,,,,,,,,,,,,69,1,173.2198548,None,173.3216029,None,2,1,1.2644471,173.3216029,None,None,None,,,,,Jocelyn_personal,1,2024_Feb_19_1508,clock-master,2021.1.4,59.98447602
