cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,18.030444699979853,18.030444699979853,s,0.7830186000210233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
,,,,,,,,,,,,,,,,,,,18.83782670000801,18.83782670000801,1,2.8345079999999143,None,,,,,,,,,,,,,,,,,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,9,48,左下,1,1,0,0,0,0,0,0,0,8,,,,,,,,,,,21.69734229997266,23.69167520001065,23.69167520001065,24.203399099991657,11,24.203399099991657,24.290127000014763,24.290127000014763,26.683972599974368,26.683972599974368,26.683972599974368,0,2,0,1.6289299999480136,None,26.683972599974368,27.18272609997075,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,10,28,右下,1,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,51,27.18272609997075,27.282575300021563,27.282575300021563,29.67582709999988,29.67582709999988,29.67582709999988,1,1,1,1.7370954000507481,None,29.67582709999988,30.17490679997718,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,10,28,左下,0,2,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,42,30.17490679997718,30.274715700012166,30.274715700012166,32.66809110000031,32.66809110000031,32.66809110000031,1,2,1,1.9540614999714307,None,32.66809110000031,33.16715059999842,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,8,21,右下,1,1,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,70,33.16715059999842,33.26702520000981,33.26702520000981,35.66029869997874,35.66029869997874,35.66029869997874,1,1,1,1.654413799988106,None,35.66029869997874,36.159298499987926,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,15,23,左上,0,2,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,93,36.159298499987926,36.25918290001573,36.25918290001573,38.65240060002543,38.65240060002543,38.65240060002543,1,2,1,2.2695922999992035,None,38.65240060002543,39.15139169996837,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,10,49,左下,0,2,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,38,39.15139169996837,39.25126370001817,39.25126370001817,41.64446779998252,41.64446779998252,41.64446779998252,0,None,0,,,41.64446779998252,42.143601800024044,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,19,11,左下,0,2,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,74,42.143601800024044,42.24333690002095,42.24333690002095,44.637158299970906,44.637158299970906,44.637158299970906,1,2,1,1.235030900046695,None,44.637158299970906,45.13541809999151,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,19,17,左上,0,2,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,86,45.13541809999151,45.23563379998086,45.23563379998086,47.62872659997083,47.62872659997083,47.62872659997083,1,2,1,2.341354899981525,None,47.62872659997083,48.12789300002623,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,14,20,右下,1,1,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,8,48.12789300002623,48.22762189997593,48.22762189997593,50.621274399978574,50.621274399978574,50.621274399978574,1,1,1,1.755238300014753,None,50.621274399978574,51.11997090000659,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,16,24,右下,1,1,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,28,51.11997090000659,51.21942679997301,51.21942679997301,53.613403900002595,53.613403900002595,53.613403900002595,0,2,0,2.3033658000058495,None,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.613403900002595,83.56826420000289,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
