run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,run_no,prep_instr_1.started,target_1.started,prep_instr_1.stopped,target_1.stopped,trial_fixation_1_1.started,trial_fixation_1_1.stopped,image_1_1.started,key_resp_1_1.started,image_1_1.stopped,key_resp_1_1.stopped,trial_fixation_1_2.started,trial_fixation_1_2.stopped,image_1_2.started,key_resp_1_2.started,image_1_2.stopped,key_resp_1_2.stopped,trial_fixation_1_3.started,trial_fixation_1_3.stopped,image_1_3.started,key_resp_1_3.started,image_1_3.stopped,key_resp_1_3.stopped,trial_fixation_1_4.started,trial_fixation_1_4.stopped,image_1_4.started,key_resp_1_4.started,image_1_4.stopped,key_resp_1_4.stopped,trial_fixation_1_5.started,trial_fixation_1_5.stopped,image_1_5.started,key_resp_1_5.started,image_1_5.stopped,key_resp_1_5.stopped,trial_fixation_1_6.started,trial_fixation_1_6.stopped,image_1_6.started,key_resp_1_6.started,image_1_6.stopped,key_resp_1_6.stopped,trial_fixation_1_7.started,trial_fixation_1_7.stopped,image_1_7.started,key_resp_1_7.started,image_1_7.stopped,key_resp_1_7.stopped,trial_fixation_1_8.started,trial_fixation_1_8.stopped,image_1_8.started,key_resp_1_8.started,image_1_8.stopped,key_resp_1_8.stopped,trial_fixation_1_9.started,trial_fixation_1_9.stopped,image_1_9.started,key_resp_1_9.started,image_1_9.stopped,key_resp_1_9.stopped,trial_fixation_1_10.started,trial_fixation_1_10.stopped,image_1_10.started,key_resp_1_10.started,image_1_10.stopped,key_resp_1_10.stopped,key_resp_1_1.keys,key_resp_1_1.rt,key_resp_1_1.duration,key_resp_1_2.keys,key_resp_1_2.rt,key_resp_1_2.duration,key_resp_1_3.keys,key_resp_1_3.rt,key_resp_1_3.duration,key_resp_1_4.keys,key_resp_1_4.rt,key_resp_1_4.duration,key_resp_1_5.keys,key_resp_1_5.rt,key_resp_1_5.duration,key_resp_1_6.keys,key_resp_1_6.rt,key_resp_1_6.duration,key_resp_1_7.keys,key_resp_1_7.rt,key_resp_1_7.duration,key_resp_1_8.keys,key_resp_1_8.rt,key_resp_1_8.duration,key_resp_1_9.keys,key_resp_1_9.rt,key_resp_1_9.duration,key_resp_1_10.keys,key_resp_1_10.rt,key_resp_1_10.duration,prep_instr_2.started,target_2.started,prep_instr_2.stopped,target_2.stopped,trial_fixation_2_1.started,trial_fixation_2_1.stopped,image_2_1.started,key_resp_2_1.started,image_2_1.stopped,key_resp_2_1.stopped,trial_fixation_2_2.started,trial_fixation_2_2.stopped,image_2_2.started,key_resp_2_2.started,image_2_2.stopped,key_resp_2_2.stopped,trial_fixation_2_3.started,trial_fixation_2_3.stopped,image_2_3.started,key_resp_2_3.started,image_2_3.stopped,key_resp_2_3.stopped,trial_fixation_2_4.started,trial_fixation_2_4.stopped,image_2_4.started,key_resp_2_4.started,image_2_4.stopped,key_resp_2_4.stopped,trial_fixation_2_5.started,trial_fixation_2_5.stopped,image_2_5.started,key_resp_2_5.started,image_2_5.stopped,key_resp_2_5.stopped,trial_fixation_2_6.started,trial_fixation_2_6.stopped,image_2_6.started,key_resp_2_6.started,image_2_6.stopped,key_resp_2_6.stopped,trial_fixation_2_7.started,trial_fixation_2_7.stopped,image_2_7.started,key_resp_2_7.started,image_2_7.stopped,key_resp_2_7.stopped,trial_fixation_2_8.started,trial_fixation_2_8.stopped,image_2_8.started,key_resp_2_8.started,image_2_8.stopped,key_resp_2_8.stopped,trial_fixation_2_9.started,trial_fixation_2_9.stopped,image_2_9.started,key_resp_2_9.started,image_2_9.stopped,key_resp_2_9.stopped,trial_fixation_2_10.started,trial_fixation_2_10.stopped,image_2_10.started,key_resp_2_10.started,image_2_10.stopped,key_resp_2_10.stopped,key_resp_2_1.keys,key_resp_2_1.rt,key_resp_2_1.duration,key_resp_2_2.keys,key_resp_2_2.rt,key_resp_2_2.duration,key_resp_2_3.keys,key_resp_2_3.rt,key_resp_2_3.duration,key_resp_2_4.keys,key_resp_2_4.rt,key_resp_2_4.duration,key_resp_2_5.keys,key_resp_2_5.rt,key_resp_2_5.duration,key_resp_2_6.keys,key_resp_2_6.rt,key_resp_2_6.duration,key_resp_2_7.keys,key_resp_2_7.rt,key_resp_2_7.duration,key_resp_2_8.keys,key_resp_2_8.rt,key_resp_2_8.duration,key_resp_2_9.keys,key_resp_2_9.rt,key_resp_2_9.duration,key_resp_2_10.keys,key_resp_2_10.rt,key_resp_2_10.duration,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,19.448531699948944,19.448531699948944,s,1.3769517000182532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
,,,,,,,,,20.846082899952307,20.846082899952307,1,3.5502152000553906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
0,0,0,0,,,,,,,,,,,6,24.52171909995377,24.52171909995377,26.99661659996491,26.99661659996491,26.99661659996491,27.495180599973537,27.495180599973537,27.495180599973537,29.98894119996112,29.98894119996112,29.98894119996112,30.487919299979694,30.487919299979694,30.487919299979694,32.98085229995195,32.98085229995195,32.98085229995195,33.47981549997348,33.47981549997348,33.47981549997348,35.97315209999215,35.97315209999215,35.97315209999215,36.47173299995484,36.47173299995484,36.47173299995484,38.96492769999895,38.96492769999895,38.96492769999895,39.46443279995583,39.46443279995583,39.46443279995583,41.95752309996169,41.95752309996169,41.95752309996169,42.45614139997633,42.45614139997633,42.45614139997633,44.9492828999646,44.9492828999646,44.9492828999646,45.44806579995202,45.44806579995202,45.44806579995202,47.941831599979196,47.941831599979196,47.941831599979196,48.44038179999916,48.44038179999916,48.44038179999916,50.93358899996383,50.93358899996383,50.93358899996383,51.43278769997414,51.43278769997414,51.43278769997414,53.926130199979525,53.926130199979525,53.926130199979525,54.42485949996626,54.42485949996626,54.42485949996626,56.989215199952014,56.989215199952014,2,0.7691562000545673,None,1,0.787771100003738,None,2,0.531674700032454,None,2,0.5548396000522189,None,2,0.8689573000301607,None,2,0.6709972000098787,None,2,0.6168565000407398,None,2,0.5894070000504144,None,1,0.6293226000270806,None,2,0.7901456000399776,None,56.989215199952014,56.989215199952014,59.46141910000006,59.46141910000006,59.46141910000006,59.96058359998278,59.96058359998278,59.96058359998278,62.45335149997845,62.45335149997845,62.45335149997845,62.95292449998669,62.95292449998669,62.95292449998669,65.44579119997798,65.44579119997798,65.44579119997798,65.94457919994602,65.94457919994602,65.94457919994602,68.43787999998312,68.43787999998312,68.43787999998312,68.93691649998073,68.93691649998073,68.93691649998073,71.42967199999839,71.42967199999839,71.42967199999839,71.92919729999267,71.92919729999267,71.92919729999267,74.42250919999788,74.42250919999788,74.42250919999788,74.92133240000112,74.92133240000112,74.92133240000112,77.41436919994885,77.41436919994885,77.41436919994885,77.91318469995167,77.91318469995167,77.91318469995167,80.40656169998692,80.40656169998692,80.40656169998692,80.90557569998782,80.90557569998782,80.90557569998782,83.39866939996136,83.39866939996136,83.39866939996136,83.89781359996414,83.89781359996414,83.89781359996414,86.39052779995836,86.39052779995836,86.39052779995836,86.88995059998706,86.88995059998706,86.88995059998706,89.38304879999487,89.38304879999487,2,2.0347453000140376,None,2,0.9544838000438176,None,2,1.33742620004341,None,2,0.6708639000426047,None,1,1.4938197000301443,None,2,0.9056924000615254,None,2,0.7174751000711694,None,1,0.3467323000659235,None,2,0.811424900079146,None,2,0.9685917000751942,None,89.38304879999487,104.42674569995143,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
1,0,1,0,,,,,,,,,,,6,104.42674569995143,104.42674569995143,106.9036000999622,106.9036000999622,106.9036000999622,107.40218319999985,107.40218319999985,107.40218319999985,109.89580529998057,109.89580529998057,109.89580529998057,110.39451149996603,110.39451149996603,110.39451149996603,112.88789019995602,112.88789019995602,112.88789019995602,113.38706329994602,113.38706329994602,113.38706329994602,115.87982039997587,115.87982039997587,115.87982039997587,116.37888429994928,116.37888429994928,116.37888429994928,118.87220719998004,118.87220719998004,118.87220719998004,119.37086189998081,119.37086189998081,119.37086189998081,121.86459239997203,121.86459239997203,121.86459239997203,122.3632695999695,122.3632695999695,122.3632695999695,124.85623979999218,124.85623979999218,124.85623979999218,125.35532779997448,125.35532779997448,125.35532779997448,127.84838409995427,127.84838409995427,127.84838409995427,128.34738749999087,128.34738749999087,128.34738749999087,130.84055299998727,130.84055299998727,130.84055299998727,131.3398898000014,131.3398898000014,131.3398898000014,133.83270489994902,133.83270489994902,133.83270489994902,134.3320899999817,134.3320899999817,134.3320899999817,136.87883889995283,136.87883889995283,2,1.7829515000921674,None,2,2.2385934000485577,None,1,1.9763815000769682,None,2,0.9719467000686564,None,2,0.8939617000287399,None,2,0.9493861000519246,None,2,1.3885241000098176,None,2,1.2150639000465162,None,2,1.3330617000465281,None,1,0.5957704000757076,None,136.87883889995283,136.87883889995283,139.3519399999641,139.3519399999641,139.3519399999641,139.85056789999362,139.85056789999362,139.85056789999362,142.3440891999635,142.3440891999635,142.3440891999635,142.84313850000035,142.84313850000035,142.84313850000035,145.33763339999132,145.33763339999132,145.33763339999132,145.83506539999507,145.83506539999507,145.83506539999507,148.32825319998665,148.32825319998665,148.32825319998665,148.827395899978,148.827395899978,148.827395899978,151.32014569995226,151.32014569995226,151.32014569995226,151.81944699998712,151.81944699998712,151.81944699998712,154.31229419994634,154.31229419994634,154.31229419994634,154.81159479997586,154.81159479997586,154.81159479997586,157.30485709995264,157.30485709995264,157.30485709995264,157.80425469996408,157.80425469996408,157.80425469996408,160.29658539994853,160.29658539994853,160.29658539994853,160.79564489994664,160.79564489994664,160.79564489994664,163.2886916999705,163.2886916999705,163.2886916999705,163.78798839997035,163.78798839997035,163.78798839997035,166.28124149999348,166.28124149999348,166.28124149999348,166.77979949995643,166.77979949995643,166.77979949995643,169.27343939995626,169.27343939995626,2,0.830842700030189,None,2,0.8590709000709467,None,1,0.4847696000360884,None,2,1.753442500019446,None,2,1.3511039000586607,None,2,1.114885300048627,None,2,1.1130674000596628,None,2,0.8694568000501022,None,2,0.999606000026688,None,2,0.9874909000354819,None,169.27343939995626,184.34669619996566,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
2,0,2,0,,,,,,,,,,,6,184.34669619996566,184.34669619996566,186.81036709999898,186.81036709999898,186.81036709999898,187.30960409995168,187.30960409995168,187.30960409995168,189.80283619998954,189.80283619998954,189.80283619998954,190.3015273999772,190.3015273999772,190.3015273999772,192.7948077999754,192.7948077999754,192.7948077999754,193.29365289997077,193.29365289997077,193.29365289997077,195.78675189998467,195.78675189998467,195.78675189998467,196.285773599986,196.285773599986,196.285773599986,198.77934639999876,198.77934639999876,198.77934639999876,199.27785569999833,199.27785569999833,199.27785569999833,201.77159399999073,201.77159399999073,201.77159399999073,202.27018069999758,202.27018069999758,202.27018069999758,204.7635108999675,204.7635108999675,204.7635108999675,205.2621164000011,205.2621164000011,205.2621164000011,207.75579229998402,207.75579229998402,207.75579229998402,208.25465229997644,208.25465229997644,208.25465229997644,210.74763579998398,210.74763579998398,210.74763579998398,211.24679039994953,211.24679039994953,211.24679039994953,213.74002759996802,213.74002759996802,213.74002759996802,214.23874649999198,214.23874649999198,214.23874649999198,216.7677780999802,216.7677780999802,1,1.2478068000636995,None,2,1.533759200014174,None,1,0.8713325000135228,None,2,0.859325900033582,None,2,0.7467909000697546,None,2,0.7878569000749849,None,2,1.1221225000335835,None,2,1.062076700036414,None,2,0.6319468000438064,None,1,0.6602515000849962,None,216.7677780999802,216.7677780999802,219.24215659999754,219.24215659999754,219.24215659999754,219.74120930000208,219.74120930000208,219.74120930000208,222.23452929995256,222.23452929995256,222.23452929995256,222.73298309999518,222.73298309999518,222.73298309999518,225.22620409994852,225.22620409994852,225.22620409994852,225.72512049996294,225.72512049996294,225.72512049996294,228.2185802999884,228.2185802999884,228.2185802999884,228.71754809998674,228.71754809998674,228.71754809998674,231.21045259997481,231.21045259997481,231.21045259997481,231.70945219998248,231.70945219998248,231.70945219998248,234.20311319996836,234.20311319996836,234.20311319996836,234.70164749998366,234.70164749998366,234.70164749998366,237.19481139996788,237.19481139996788,237.19481139996788,237.6936809999752,237.6936809999752,237.6936809999752,240.1871925999876,240.1871925999876,240.1871925999876,240.68637749995105,240.68637749995105,240.68637749995105,243.17963559995405,243.17963559995405,243.17963559995405,243.67796659999294,243.67796659999294,243.67796659999294,246.17167169996537,246.17167169996537,246.17167169996537,246.67057469999418,246.67057469999418,246.67057469999418,249.1638008999871,249.1638008999871,2,0.6769678000709973,None,2,0.6530833001015708,None,1,0.5340733000775799,None,2,0.5423087000381202,None,1,0.7493755000177771,None,2,0.8641253000241704,None,2,0.43485810002312064,None,2,0.6969669000827707,None,2,0.6256078000878915,None,1,0.7762052000616677,None,249.1638008999871,264.2381122999941,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
3,0,3,0,,,,,,,,,,,6,264.2381122999941,264.2381122999941,266.70026719995076,266.70026719995076,266.70026719995076,267.2000248999684,267.2000248999684,267.2000248999684,269.6931088999845,269.6931088999845,269.6931088999845,270.1922618999961,270.1922618999961,270.1922618999961,272.6849760999903,272.6849760999903,272.6849760999903,273.18413099995814,273.18413099995814,273.18413099995814,275.6773793999455,275.6773793999455,275.6773793999455,276.1760768999811,276.1760768999811,276.1760768999811,278.66919649997726,278.66919649997726,278.66919649997726,279.1682178999763,279.1682178999763,279.1682178999763,281.6616503999685,281.6616503999685,281.6616503999685,282.16052559996024,282.16052559996024,282.16052559996024,284.6539418999455,284.6539418999455,284.6539418999455,285.15282329998445,285.15282329998445,285.15282329998445,287.64570029999595,287.64570029999595,287.64570029999595,288.1446409999626,288.1446409999626,288.1446409999626,290.6383624000009,290.6383624000009,290.6383624000009,291.1370495999581,291.1370495999581,291.1370495999581,293.6302394999657,293.6302394999657,293.6302394999657,294.12928149994696,294.12928149994696,294.12928149994696,296.65791109995916,296.65791109995916,2,0.4401052000466734,None,2,0.4570985000464134,None,2,0.6006545000709593,None,2,0.48860220005735755,None,2,0.9308564000530168,None,2,0.6165929000708275,None,2,1.1876631000777707,None,2,0.7468030000454746,None,1,1.875842600071337,None,1,0.8141612000763416,None,296.65791109995916,296.65791109995916,299.1324727999745,299.1324727999745,299.1324727999745,299.63120229996275,299.63120229996275,299.63120229996275,302.12443089997396,302.12443089997396,302.12443089997396,302.62346739997156,302.62346739997156,302.62346739997156,305.11690099997213,305.11690099997213,305.11690099997213,305.6160032999469,305.6160032999469,305.6160032999469,308.1094585999963,308.1094585999963,308.1094585999963,308.6076888999669,308.6076888999669,308.6076888999669,311.1012900999631,311.1012900999631,311.1012900999631,311.6003647999605,311.6003647999605,311.6003647999605,314.0932242999552,314.0932242999552,314.0932242999552,314.59248619998107,314.59248619998107,314.59248619998107,317.0855366999749,317.0855366999749,317.0855366999749,317.58443909999914,317.58443909999914,317.58443909999914,320.07724979997147,320.07724979997147,320.07724979997147,320.57664990000194,320.57664990000194,320.57664990000194,323.06969709997065,323.06969709997065,323.06969709997065,323.5687329999637,323.5687329999637,323.5687329999637,326.061802399985,326.061802399985,326.061802399985,326.5604568999843,326.5604568999843,326.5604568999843,329.05401419999544,329.05401419999544,2,0.7425473000621423,None,2,1.1243262000498362,None,2,1.0074692000634968,None,2,2.196714600024279,None,2,1.7226452000904828,None,2,1.1456865000654943,None,2,0.4978301000664942,None,2,0.6866251000901684,None,2,0.769213400024455,None,2,0.6324206000426784,None,329.05401419999544,344.12403219996486,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
4,0,4,0,,,,,,,,,,,5,344.12403219996486,344.12403219996486,346.59064149996266,346.59064149996266,346.59064149996266,347.0895500999759,347.0895500999759,347.0895500999759,349.5827863999875,349.5827863999875,349.5827863999875,350.0816539999796,350.0816539999796,350.0816539999796,352.5750696999603,352.5750696999603,352.5750696999603,353.0740409999853,353.0740409999853,353.0740409999853,355.56694189994596,355.56694189994596,355.56694189994596,356.0660423999652,356.0660423999652,356.0660423999652,358.5592272999929,358.5592272999929,358.5592272999929,359.0581447999575,359.0581447999575,359.0581447999575,361.551330199989,361.551330199989,361.551330199989,362.0501822999795,362.0501822999795,362.0501822999795,364.543609299988,364.543609299988,364.543609299988,365.04256029997487,365.04256029997487,365.04256029997487,367.5357223000028,367.5357223000028,367.5357223000028,368.0347246999736,368.0347246999736,368.0347246999736,370.52782509999815,370.52782509999815,370.52782509999815,371.02668069995707,371.02668069995707,371.02668069995707,373.5199537999579,373.5199537999579,373.5199537999579,374.01887629996054,374.01887629996054,374.01887629996054,376.5742862999905,376.5742862999905,2,1.268765400047414,None,2,1.0394261000910774,None,None,,,1,0.8252663000603206,None,2,0.7388521000393666,None,2,0.7667092001065612,None,1,0.9351464000646956,None,2,1.1359649000805803,None,2,0.9825735000194982,None,2,2.135024200018961,None,376.5742862999905,376.5742862999905,379.0388285999652,379.0388285999652,379.0388285999652,379.5377111999551,379.5377111999551,379.5377111999551,382.0308931999607,382.0308931999607,382.0308931999607,382.52988149999874,382.52988149999874,382.52988149999874,385.0232788999565,385.0232788999565,385.0232788999565,385.5220478999545,385.5220478999545,385.5220478999545,388.0153654999449,388.0153654999449,388.0153654999449,388.5144805999589,388.5144805999589,388.5144805999589,391.0074758999981,391.0074758999981,391.0074758999981,391.50632879999466,391.50632879999466,391.50632879999466,393.9995655999519,393.9995655999519,393.9995655999519,394.49841069994727,394.49841069994727,394.49841069994727,396.99193169997307,396.99193169997307,396.99193169997307,397.4905316999648,397.4905316999648,397.4905316999648,399.98394720000215,399.98394720000215,399.98394720000215,400.48278759996174,400.48278759996174,400.48278759996174,402.9761397999828,402.9761397999828,402.9761397999828,403.4755826999899,403.4755826999899,403.4755826999899,405.96885649999604,405.96885649999604,405.96885649999604,406.4674454999622,406.4674454999622,406.4674454999622,408.96109359996626,408.96109359996626,1,0.7806331000174396,None,2,0.9682782000745647,None,2,0.974081100022886,None,2,1.045093100052327,None,2,0.9028781000524759,None,2,1.3296378000522964,None,2,1.965008800092619,None,1,0.9879572000354528,None,2,1.2926498000742868,None,2,0.771725700062234,None,408.96109359996626,423.993078999978,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
5,0,5,0,,,,,,,,,,,5,423.993078999978,423.993078999978,426.4650975999539,426.4650975999539,426.4650975999539,426.9636154999607,426.9636154999607,426.9636154999607,429.45718319999287,429.45718319999287,429.45718319999287,429.9563077999628,429.9563077999628,429.9563077999628,432.4490771999699,432.4490771999699,432.4490771999699,432.9484210999799,432.9484210999799,432.9484210999799,435.4412243999541,435.4412243999541,435.4412243999541,435.94082659995183,435.94082659995183,435.94082659995183,438.4337230999954,438.4337230999954,438.4337230999954,438.93267670000205,438.93267670000205,438.93267670000205,441.4256499999901,441.4256499999901,441.4256499999901,441.9244396999711,441.9244396999711,441.9244396999711,444.41824859997723,444.41824859997723,444.41824859997723,444.9167901999899,444.9167901999899,444.9167901999899,447.41024619998643,447.41024619998643,447.41024619998643,447.9088379999739,447.9088379999739,447.9088379999739,450.40192759997444,450.40192759997444,450.40192759997444,450.9009357999894,450.9009357999894,450.9009357999894,453.39434379996965,453.39434379996965,453.39434379996965,453.8930716999457,453.8930716999457,453.8930716999457,456.47942329995567,456.47942329995567,2,1.9308457000297494,None,2,0.8127787000266835,None,2,1.078057000064291,None,2,1.3912092000828125,None,None,,,2,2.3011632000561804,None,2,1.0933624000754207,None,2,2.1557098000193946,None,2,1.1930267000570893,None,2,2.2244892000453547,None,456.47942329995567,456.47942329995567,458.94651469995733,458.94651469995733,458.94651469995733,459.4456744999625,459.4456744999625,459.4456744999625,461.93818989995634,461.93818989995634,461.93818989995634,462.43762789998436,462.43762789998436,462.43762789998436,464.93091729999287,464.93091729999287,464.93091729999287,465.42987679998623,465.42987679998623,465.42987679998623,467.9229553999612,467.9229553999612,467.9229553999612,468.4218905000016,468.4218905000016,468.4218905000016,470.9153046999709,470.9153046999709,470.9153046999709,471.41371699998854,471.41371699998854,471.41371699998854,473.90679499995895,473.90679499995895,473.90679499995895,474.40637719997903,474.40637719997903,474.40637719997903,476.89921669999603,476.89921669999603,476.89921669999603,477.39801669999724,477.39801669999724,477.39801669999724,479.891705499962,479.891705499962,479.891705499962,480.3901356999995,480.3901356999995,480.3901356999995,482.8834429999697,482.8834429999697,482.8834429999697,483.38248749997,483.38248749997,483.38248749997,485.8754930999712,485.8754930999712,485.8754930999712,486.374397699954,486.374397699954,486.374397699954,488.8677388999495,488.8677388999495,2,1.0338114000624046,None,2,0.8092550000292249,None,1,0.7571195000200532,None,2,0.9384280000813305,None,None,,,2,1.7295208000577986,None,2,1.1604161000577733,None,2,1.1989659000537358,None,1,1.2704458000371233,None,1,1.6838691000593826,None,488.8677388999495,503.8810282999766,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
6,0,6,0,,,,,,,,,,,5,503.8810282999766,503.8810282999766,506.35548309999285,506.35548309999285,506.35548309999285,506.85411989997374,506.85411989997374,506.85411989997374,509.34726099995896,509.34726099995896,509.34726099995896,509.8467539999983,509.8467539999983,509.8467539999983,512.3395382000017,512.3395382000017,512.3395382000017,512.838482399995,512.838482399995,512.838482399995,515.3319503999664,515.3319503999664,515.3319503999664,515.8309703999548,515.8309703999548,515.8309703999548,518.3238139000023,518.3238139000023,518.3238139000023,518.8227531999582,518.8227531999582,518.8227531999582,521.316217799962,521.316217799962,521.316217799962,521.814705799974,521.814705799974,521.814705799974,524.3080873999861,524.3080873999861,524.3080873999861,524.8069515999523,524.8069515999523,524.8069515999523,527.3006250999752,527.3006250999752,527.3006250999752,527.799228399992,527.799228399992,527.799228399992,530.2925695999875,530.2925695999875,530.2925695999875,530.7915887999698,530.7915887999698,530.7915887999698,533.2844294999959,533.2844294999959,533.2844294999959,533.7842941999552,533.7842941999552,533.7842941999552,536.3400157999713,536.3400157999713,2,1.277629500022158,None,2,0.651771400065627,None,2,0.6886516000959091,None,2,0.9554426000686362,None,1,0.5600419000838883,None,2,1.0310781000298448,None,2,0.9284256000537425,None,2,1.058930900064297,None,2,0.8952157000312582,None,1,1.124242400052026,None,536.3400157999713,536.3400157999713,538.8036798999528,538.8036798999528,538.8036798999528,539.3027948999661,539.3027948999661,539.3027948999661,541.7956044999883,541.7956044999883,541.7956044999883,542.2947551999823,542.2947551999823,542.2947551999823,544.7877372999792,544.7877372999792,544.7877372999792,545.2864700999926,545.2864700999926,545.2864700999926,547.7801846999791,547.7801846999791,547.7801846999791,548.2787852999754,548.2787852999754,548.2787852999754,550.7719615999958,550.7719615999958,550.7719615999958,551.271273499995,551.271273499995,551.271273499995,553.7643459999817,553.7643459999817,553.7643459999817,554.2629998999764,554.2629998999764,554.2629998999764,556.7565592000028,556.7565592000028,556.7565592000028,557.2555107999942,557.2555107999942,557.2555107999942,559.748700199998,559.748700199998,559.748700199998,560.2474434999749,560.2474434999749,560.2474434999749,562.7405565999798,562.7405565999798,562.7405565999798,563.2394457999617,563.2394457999617,563.2394457999617,565.7330463999533,565.7330463999533,565.7330463999533,566.2317233999493,566.2317233999493,566.2317233999493,568.7251239999896,568.7251239999896,2,0.44378120003966615,None,2,0.43906770000467077,None,2,0.6272653000196442,None,1,1.1695152000174858,None,2,1.2259672000654973,None,None,,,2,0.8379131000256166,None,2,0.8432723000296392,None,2,0.7903280000318773,None,2,1.114377600082662,None,568.7251239999896,583.7628476999816,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
7,0,7,0,,,,,,,,,,,5,583.7628476999816,583.7628476999816,586.2292584999814,586.2292584999814,586.2292584999814,586.7278278999729,586.7278278999729,586.7278278999729,589.2218161999481,589.2218161999481,589.2218161999481,589.7200004999759,589.7200004999759,589.7200004999759,592.2136269999901,592.2136269999901,592.2136269999901,592.7125369999558,592.7125369999558,592.7125369999558,595.2053749999614,595.2053749999614,595.2053749999614,595.7044989999849,595.7044989999849,595.7044989999849,598.1974563999684,598.1974563999684,598.1974563999684,598.6963403999689,598.6963403999689,598.6963403999689,601.1896095999982,601.1896095999982,601.1896095999982,601.6885873999563,601.6885873999563,601.6885873999563,604.1819932999788,604.1819932999788,604.1819932999788,604.680808199977,604.680808199977,604.680808199977,607.174182399991,607.174182399991,607.174182399991,607.6737613999867,607.6737613999867,607.6737613999867,610.1663789000013,610.1663789000013,610.1663789000013,610.6650035999482,610.6650035999482,610.6650035999482,613.1582664999878,613.1582664999878,613.1582664999878,613.6571967999917,613.6571967999917,613.6571967999917,616.1880998999695,616.1880998999695,2,1.147725100046955,None,2,0.6574559000437148,None,2,0.8078501000418328,None,2,0.7082996000535786,None,1,1.097132100025192,None,2,0.9040107000619173,None,1,1.8518813000409864,None,None,,,None,,,None,,,616.1880998999695,616.1880998999695,618.660461099993,618.660461099993,618.660461099993,619.1592827999848,619.1592827999848,619.1592827999848,621.6525522999582,621.6525522999582,621.6525522999582,622.1515191999497,622.1515191999497,622.1515191999497,624.6447873999714,624.6447873999714,624.6447873999714,625.1441745999618,625.1441745999618,625.1441745999618,627.6372062999872,627.6372062999872,627.6372062999872,628.1359766999958,628.1359766999958,628.1359766999958,630.6293853999814,630.6293853999814,630.6293853999814,631.1285702000023,631.1285702000023,631.1285702000023,633.6214799999725,633.6214799999725,633.6214799999725,634.1201977999881,634.1201977999881,634.1201977999881,636.6132813000004,636.6132813000004,636.6132813000004,637.1127183999633,637.1127183999633,637.1127183999633,639.6057629999705,639.6057629999705,639.6057629999705,640.1044656999875,640.1044656999875,640.1044656999875,642.5979442999815,642.5979442999815,642.5979442999815,643.0965276999632,643.0965276999632,643.0965276999632,645.5901252999902,645.5901252999902,645.5901252999902,646.0888869999908,646.0888869999908,646.0888869999908,648.5823203999898,648.5823203999898,1,0.8526244000531733,None,2,1.3234352000872605,None,2,1.6762433000840247,None,2,1.164998700027354,None,2,0.6813451000489295,None,1,0.5075956000946462,None,1,0.820330900081899,None,2,1.3435660000541247,None,None,,,2,1.2097917000646703,None,648.5823203999898,663.559407099965,,,,,,Gianna_ZB216,001,2024-02-27_14h38.30.944,nback-master-new,2023.1.3,60.178030682489464,
