run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,run_no,prep_instr_1.started,target_1.started,prep_instr_1.stopped,target_1.stopped,trial_fixation_1_1.started,trial_fixation_1_1.stopped,image_1_1.started,key_resp_1_1.started,image_1_1.stopped,key_resp_1_1.stopped,trial_fixation_1_2.started,trial_fixation_1_2.stopped,image_1_2.started,key_resp_1_2.started,image_1_2.stopped,key_resp_1_2.stopped,trial_fixation_1_3.started,trial_fixation_1_3.stopped,image_1_3.started,key_resp_1_3.started,image_1_3.stopped,key_resp_1_3.stopped,trial_fixation_1_4.started,trial_fixation_1_4.stopped,image_1_4.started,key_resp_1_4.started,image_1_4.stopped,key_resp_1_4.stopped,trial_fixation_1_5.started,trial_fixation_1_5.stopped,image_1_5.started,key_resp_1_5.started,image_1_5.stopped,key_resp_1_5.stopped,trial_fixation_1_6.started,trial_fixation_1_6.stopped,image_1_6.started,key_resp_1_6.started,image_1_6.stopped,key_resp_1_6.stopped,trial_fixation_1_7.started,trial_fixation_1_7.stopped,image_1_7.started,key_resp_1_7.started,image_1_7.stopped,key_resp_1_7.stopped,trial_fixation_1_8.started,trial_fixation_1_8.stopped,image_1_8.started,key_resp_1_8.started,image_1_8.stopped,key_resp_1_8.stopped,trial_fixation_1_9.started,trial_fixation_1_9.stopped,image_1_9.started,key_resp_1_9.started,image_1_9.stopped,key_resp_1_9.stopped,trial_fixation_1_10.started,trial_fixation_1_10.stopped,image_1_10.started,key_resp_1_10.started,image_1_10.stopped,key_resp_1_10.stopped,key_resp_1_1.keys,key_resp_1_1.rt,key_resp_1_1.duration,key_resp_1_2.keys,key_resp_1_2.rt,key_resp_1_2.duration,key_resp_1_3.keys,key_resp_1_3.rt,key_resp_1_3.duration,key_resp_1_4.keys,key_resp_1_4.rt,key_resp_1_4.duration,key_resp_1_5.keys,key_resp_1_5.rt,key_resp_1_5.duration,key_resp_1_6.keys,key_resp_1_6.rt,key_resp_1_6.duration,key_resp_1_7.keys,key_resp_1_7.rt,key_resp_1_7.duration,key_resp_1_8.keys,key_resp_1_8.rt,key_resp_1_8.duration,key_resp_1_9.keys,key_resp_1_9.rt,key_resp_1_9.duration,key_resp_1_10.keys,key_resp_1_10.rt,key_resp_1_10.duration,prep_instr_2.started,target_2.started,prep_instr_2.stopped,target_2.stopped,trial_fixation_2_1.started,trial_fixation_2_1.stopped,image_2_1.started,key_resp_2_1.started,image_2_1.stopped,key_resp_2_1.stopped,trial_fixation_2_2.started,trial_fixation_2_2.stopped,image_2_2.started,key_resp_2_2.started,image_2_2.stopped,key_resp_2_2.stopped,trial_fixation_2_3.started,trial_fixation_2_3.stopped,image_2_3.started,key_resp_2_3.started,image_2_3.stopped,key_resp_2_3.stopped,trial_fixation_2_4.started,trial_fixation_2_4.stopped,image_2_4.started,key_resp_2_4.started,image_2_4.stopped,key_resp_2_4.stopped,trial_fixation_2_5.started,trial_fixation_2_5.stopped,image_2_5.started,key_resp_2_5.started,image_2_5.stopped,key_resp_2_5.stopped,trial_fixation_2_6.started,trial_fixation_2_6.stopped,image_2_6.started,key_resp_2_6.started,image_2_6.stopped,key_resp_2_6.stopped,trial_fixation_2_7.started,trial_fixation_2_7.stopped,image_2_7.started,key_resp_2_7.started,image_2_7.stopped,key_resp_2_7.stopped,trial_fixation_2_8.started,trial_fixation_2_8.stopped,image_2_8.started,key_resp_2_8.started,image_2_8.stopped,key_resp_2_8.stopped,trial_fixation_2_9.started,trial_fixation_2_9.stopped,image_2_9.started,key_resp_2_9.started,image_2_9.stopped,key_resp_2_9.stopped,trial_fixation_2_10.started,trial_fixation_2_10.stopped,image_2_10.started,key_resp_2_10.started,image_2_10.stopped,key_resp_2_10.stopped,key_resp_2_1.keys,key_resp_2_1.rt,key_resp_2_1.duration,key_resp_2_2.keys,key_resp_2_2.rt,key_resp_2_2.duration,key_resp_2_3.keys,key_resp_2_3.rt,key_resp_2_3.duration,key_resp_2_4.keys,key_resp_2_4.rt,key_resp_2_4.duration,key_resp_2_5.keys,key_resp_2_5.rt,key_resp_2_5.duration,key_resp_2_6.keys,key_resp_2_6.rt,key_resp_2_6.duration,key_resp_2_7.keys,key_resp_2_7.rt,key_resp_2_7.duration,key_resp_2_8.keys,key_resp_2_8.rt,key_resp_2_8.duration,key_resp_2_9.keys,key_resp_2_9.rt,key_resp_2_9.duration,key_resp_2_10.keys,key_resp_2_10.rt,key_resp_2_10.duration,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,27.02943769999547,27.02943769999547,s,2.793989900033921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
,,,,,,,,,29.853749500005506,29.853749500005506,1,3.125862499990035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
0,0,0,0,,,,,,,,,,,3,33.12113149999641,33.12113149999641,35.589010299998336,35.589010299998336,35.589010299998336,36.08823150000535,36.08823150000535,36.08823150000535,38.58101349999197,38.58101349999197,38.58101349999197,39.079808500013314,39.079808500013314,39.079808500013314,41.5731620999868,41.5731620999868,41.5731620999868,42.07215469999937,42.07215469999937,42.07215469999937,44.5650381000014,44.5650381000014,44.5650381000014,45.06391630001599,45.06391630001599,45.06391630001599,47.55755939998198,47.55755939998198,47.55755939998198,48.05671139998594,48.05671139998594,48.05671139998594,50.54958980000811,50.54958980000811,50.54958980000811,51.048461099970154,51.048461099970154,51.048461099970154,53.541635899979156,53.541635899979156,53.541635899979156,54.0405388000072,54.0405388000072,54.0405388000072,56.533622599963564,56.533622599963564,56.533622599963564,57.03255349997198,57.03255349997198,57.03255349997198,59.52580579998903,59.52580579998903,59.52580579998903,60.02494550001575,60.02494550001575,60.02494550001575,62.51824679999845,62.51824679999845,62.51824679999845,63.017228799988516,63.017228799988516,63.017228799988516,65.56421169999521,65.56421169999521,2,1.3390758999739774,None,2,0.501431800017599,None,2,0.7412273999652825,None,1,0.9209215000155382,None,2,0.6832254999899305,None,1,1.5975552999880165,None,2,0.9076132000191137,None,1,1.3592521999962628,None,2,0.7176392000401393,None,1,0.818963999976404,None,65.56421169999521,65.56421169999521,68.03730759996688,68.03730759996688,68.03730759996688,68.5361543999752,68.5361543999752,68.5361543999752,71.02903949999018,71.02903949999018,71.02903949999018,71.52800930000376,71.52800930000376,71.52800930000376,74.02114460000303,74.02114460000303,74.02114460000303,74.52041619998636,74.52041619998636,74.52041619998636,77.01316179998685,77.01316179998685,77.01316179998685,77.51257610000903,77.51257610000903,77.51257610000903,80.00588529999368,80.00588529999368,80.00588529999368,80.50424219999695,80.50424219999695,80.50424219999695,82.99749779998092,82.99749779998092,82.99749779998092,83.49694219999947,83.49694219999947,83.49694219999947,85.98993599996902,85.98993599996902,85.98993599996902,86.48891740001272,86.48891740001272,86.48891740001272,88.98202049999963,88.98202049999963,88.98202049999963,89.48091079998994,89.48091079998994,89.48091079998994,91.9739371999749,91.9739371999749,91.9739371999749,92.47294209996471,92.47294209996471,92.47294209996471,94.96636899997247,94.96636899997247,94.96636899997247,95.46561740001198,95.46561740001198,95.46561740001198,97.95869429997401,97.95869429997401,2,1.6145148999639787,None,2,1.4578120000078343,None,1,1.110405699990224,None,2,0.8593567000352778,None,2,1.0039940999704413,None,2,0.8996826999937184,None,2,1.5688352000433952,None,1,2.007219699968118,None,2,1.7412598000373691,None,2,1.5119368000305258,None,97.95869429997401,112.97819270001492,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
1,0,1,0,,,,,,,,,,,3,112.97819270001492,112.97819270001492,115.44595969998045,115.44595969998045,115.44595969998045,115.94503319996875,115.94503319996875,115.94503319996875,118.43817149999086,118.43817149999086,118.43817149999086,118.93742009997368,118.93742009997368,118.93742009997368,121.43028390000109,121.43028390000109,121.43028390000109,121.92899330001092,121.92899330001092,121.92899330001092,124.42209419998107,124.42209419998107,124.42209419998107,124.92143639997812,124.92143639997812,124.92143639997812,127.4146546999691,127.4146546999691,127.4146546999691,127.91383450001013,127.91383450001013,127.91383450001013,130.40676480002003,130.40676480002003,130.40676480002003,130.9055178000126,130.9055178000126,130.9055178000126,133.39852839999367,133.39852839999367,133.39852839999367,133.8979656000156,133.8979656000156,133.8979656000156,136.3908250000095,136.3908250000095,136.3908250000095,136.88966679997975,136.88966679997975,136.88966679997975,139.38323209999362,139.38323209999362,139.38323209999362,139.88205040001776,139.88205040001776,139.88205040001776,142.37533110001823,142.37533110001823,142.37533110001823,142.87434679997386,142.87434679997386,142.87434679997386,145.4139079999877,145.4139079999877,1,0.7923953999998048,None,1,0.6631505000405014,None,2,1.1467348000151105,None,2,0.5199690000154078,None,2,0.5271543000126258,None,2,0.4593254999490455,None,2,0.466068500012625,None,2,0.3845135000301525,None,2,0.5599573000217788,None,2,0.5190208000130951,None,145.4139079999877,145.4139079999877,147.87762340001063,147.87762340001063,147.87762340001063,148.37659950001398,148.37659950001398,148.37659950001398,150.86984569998458,150.86984569998458,150.86984569998458,151.36849650001386,151.36849650001386,151.36849650001386,153.8619139000075,153.8619139000075,153.8619139000075,154.36068450001767,154.36068450001767,154.36068450001767,156.8536260999972,156.8536260999972,156.8536260999972,157.3531564999721,157.3531564999721,157.3531564999721,159.84589990001405,159.84589990001405,159.84589990001405,160.34478089999175,160.34478089999175,160.34478089999175,162.83804309996776,162.83804309996776,162.83804309996776,163.3375129000051,163.3375129000051,163.3375129000051,165.83045489998767,165.83045489998767,165.83045489998767,166.32950859999983,166.32950859999983,166.32950859999983,168.8223003000021,168.8223003000021,168.8223003000021,169.321341199975,169.321341199975,169.321341199975,171.81442169996444,171.81442169996444,171.81442169996444,172.3135682999855,172.3135682999855,172.3135682999855,174.8066576999845,174.8066576999845,174.8066576999845,175.30592850001995,175.30592850001995,175.30592850001995,177.79900389997056,177.79900389997056,2,2.146115000010468,None,2,1.510871300008148,None,2,1.075010500033386,None,2,1.3045812000054866,None,2,1.2982751000090502,None,2,0.9161842999747023,None,2,0.6666850000037812,None,2,0.9166594999842346,None,1,1.283974199963268,None,1,1.4716745000332594,None,177.79900389997056,192.82614770001965,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
2,0,2,0,,,,,,,,,,,3,192.82614770001965,192.82614770001965,195.3032163999742,195.3032163999742,195.3032163999742,195.801992099965,195.801992099965,195.801992099965,198.2948928999831,198.2948928999831,198.2948928999831,198.79443399998127,198.79443399998127,198.79443399998127,201.28737550001824,201.28737550001824,201.28737550001824,201.7860905000125,201.7860905000125,201.7860905000125,204.27926129999105,204.27926129999105,204.27926129999105,204.77868639997905,204.77868639997905,204.77868639997905,207.27175750001334,207.27175750001334,207.27175750001334,207.77049590001116,207.77049590001116,207.77049590001116,210.26341969997156,210.26341969997156,210.26341969997156,210.7625476999674,210.7625476999674,210.7625476999674,213.25597569998354,213.25597569998354,213.25597569998354,213.7549793999642,213.7549793999642,213.7549793999642,216.2480823000078,216.2480823000078,216.2480823000078,216.74695910001174,216.74695910001174,216.74695910001174,219.24049549998017,219.24049549998017,219.24049549998017,219.73927909997292,219.73927909997292,219.73927909997292,222.23251030000392,222.23251030000392,222.23251030000392,222.73152239999035,222.73152239999035,222.73152239999035,225.28058829996735,225.28058829996735,2,0.7759640000294894,None,2,0.5999692000332288,None,1,1.1011766000301577,None,2,0.8383865000214428,None,1,0.6515773999853991,None,2,0.7220174000249244,None,1,0.8542342000291683,None,2,0.5141056000138633,None,2,0.7161757000139914,None,2,0.684287799987942,None,225.28058829996735,225.28058829996735,227.75136809999822,227.75136809999822,227.75136809999822,228.25027979997685,228.25027979997685,228.25027979997685,230.74321970000165,230.74321970000165,230.74321970000165,231.2423002999858,231.2423002999858,231.2423002999858,233.73577430000296,233.73577430000296,233.73577430000296,234.2347930999822,234.2347930999822,234.2347930999822,236.727724700002,236.727724700002,236.727724700002,237.2265245000017,237.2265245000017,237.2265245000017,239.72003209998365,239.72003209998365,239.72003209998365,240.21859210002003,240.21859210002003,240.21859210002003,242.71223790000658,242.71223790000658,242.71223790000658,243.2111819999991,243.2111819999991,243.2111819999991,245.70384989999002,245.70384989999002,245.70384989999002,246.2033389999997,246.2033389999997,246.2033389999997,248.69598919997225,248.69598919997225,248.69598919997225,249.19539130001795,249.19539130001795,249.19539130001795,251.6886927000014,251.6886927000014,251.6886927000014,252.18755079997936,252.18755079997936,252.18755079997936,254.68076409999048,254.68076409999048,254.68076409999048,255.1792975999997,255.1792975999997,255.1792975999997,257.67261900001904,257.67261900001904,2,1.5374070000252686,None,2,0.8129831000114791,None,2,2.056785700027831,None,1,1.3648374999756925,None,2,1.7177342000068165,None,2,0.8073466999921948,None,2,0.6660360999521799,None,2,1.8268844000413083,None,2,1.1479537999839522,None,2,1.5297061000019312,None,257.67261900001904,272.74087609996786,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
3,0,3,0,,,,,,,,,,,3,272.74087609996786,272.74087609996786,275.2101239999756,275.2101239999756,275.2101239999756,275.70892110001296,275.70892110001296,275.70892110001296,278.2021650999668,278.2021650999668,278.2021650999668,278.7013302000123,278.7013302000123,278.7013302000123,281.19405240000924,281.19405240000924,281.19405240000924,281.6934061999782,281.6934061999782,281.6934061999782,284.18657570000505,284.18657570000505,284.18657570000505,284.6851978999912,284.6851978999912,284.6851978999912,287.1787744999747,287.1787744999747,287.1787744999747,287.6779498999822,287.6779498999822,287.6779498999822,290.17026919999626,290.17026919999626,290.17026919999626,290.669764899998,290.669764899998,290.669764899998,293.16297679999843,293.16297679999843,293.16297679999843,293.6617142999894,293.6617142999894,293.6617142999894,296.15512110001873,296.15512110001873,296.15512110001873,296.65416480001295,296.65416480001295,296.65416480001295,299.1468755999813,299.1468755999813,299.1468755999813,299.64561080001295,299.64561080001295,299.64561080001295,302.1389171999763,302.1389171999763,302.1389171999763,302.6382081999909,302.6382081999909,302.6382081999909,305.1788768999977,305.1788768999977,1,2.3602430999744684,None,2,1.0771099000121467,None,1,0.4367235000245273,None,1,1.204370099992957,None,2,0.5723010000074282,None,2,0.6559316999628209,None,1,1.552093199978117,None,2,1.8222627999493852,None,2,0.8225511999917217,None,2,0.8992873000097461,None,305.1788768999977,305.1788768999977,307.641878800001,307.641878800001,307.641878800001,308.1399737999891,308.1399737999891,308.1399737999891,310.63312329998007,310.63312329998007,310.63312329998007,311.13199789996725,311.13199789996725,311.13199789996725,313.62520810001297,313.62520810001297,313.62520810001297,314.1241862999741,314.1241862999741,314.1241862999741,316.6174676999799,316.6174676999799,316.6174676999799,317.11629269999685,317.11629269999685,317.11629269999685,319.6096184999915,319.6096184999915,319.6096184999915,320.1083504999988,320.1083504999988,320.1083504999988,322.60179009998683,322.60179009998683,322.60179009998683,323.10061909997603,323.10061909997603,323.10061909997603,325.5937733000028,325.5937733000028,325.5937733000028,326.0925977000152,326.0925977000152,326.0925977000152,328.5860279999906,328.5860279999906,328.5860279999906,329.0849354999955,329.0849354999955,329.0849354999955,331.5782797000138,331.5782797000138,331.5782797000138,332.077020799974,332.077020799974,332.077020799974,334.57024019997334,334.57024019997334,334.57024019997334,335.0696580999647,335.0696580999647,335.0696580999647,337.5631737000076,337.5631737000076,2,1.7086053999955766,None,2,1.4148160999757238,None,2,0.5887497999938205,None,2,0.6314921000157483,None,1,0.7386511000222526,None,2,1.6989164999686182,None,2,2.1528624999918975,None,1,1.7451299000531435,None,2,1.1490316000417806,None,1,1.7073591999942437,None,337.5631737000076,352.58042389998445,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
4,0,4,0,,,,,,,,,,,2,352.58042389998445,352.58042389998445,355.0513243000023,355.0513243000023,355.0513243000023,355.54952190001495,355.54952190001495,355.54952190001495,358.04280900000595,358.04280900000595,358.04280900000595,358.54187189997174,358.54187189997174,358.54187189997174,361.03454530000454,361.03454530000454,361.03454530000454,361.5338502000086,361.5338502000086,361.5338502000086,364.0267778999987,364.0267778999987,364.0267778999987,364.52605849999236,364.52605849999236,364.52605849999236,367.01894769998034,367.01894769998034,367.01894769998034,367.51796119997744,367.51796119997744,367.51796119997744,370.01096879999386,370.01096879999386,370.01096879999386,370.5099154000054,370.5099154000054,370.5099154000054,373.0034775999957,373.0034775999957,373.0034775999957,373.5021557,373.5021557,373.5021557,375.99567600002047,375.99567600002047,375.99567600002047,376.4945293000201,376.4945293000201,376.4945293000201,378.98787880002055,378.98787880002055,378.98787880002055,379.4869300000137,379.4869300000137,379.4869300000137,381.9798649000004,381.9798649000004,381.9798649000004,382.47855920001166,382.47855920001166,382.47855920001166,385.06412260001525,385.06412260001525,2,0.797405700024683,None,2,0.89396240003407,None,1,0.7807956999749877,None,2,0.7930763000040315,None,2,0.5712999000097625,None,1,0.6757009999710135,None,2,0.667449000000488,None,2,0.8385974999982864,None,2,0.9301011999486946,None,2,0.5628315999638289,None,385.06412260001525,385.06412260001525,387.53212930000154,387.53212930000154,387.53212930000154,388.0309953999822,388.0309953999822,388.0309953999822,390.52399209997384,390.52399209997384,390.52399209997384,391.02333910000743,391.02333910000743,391.02333910000743,393.515960299992,393.515960299992,393.515960299992,394.0153413999942,394.0153413999942,394.0153413999942,396.50848919997225,396.50848919997225,396.50848919997225,397.0074743999867,397.0074743999867,397.0074743999867,399.50069999997504,399.50069999997504,399.50069999997504,399.9994588000118,399.9994588000118,399.9994588000118,402.49277539999457,402.49277539999457,402.49277539999457,402.9914403000148,402.9914403000148,402.9914403000148,405.4845351999975,405.4845351999975,405.4845351999975,405.9835260999971,405.9835260999971,405.9835260999971,408.4770150000113,408.4770150000113,408.4770150000113,408.97572390001733,408.97572390001733,408.97572390001733,411.46927900001174,411.46927900001174,411.46927900001174,411.96826300001703,411.96826300001703,411.96826300001703,414.4614225999685,414.4614225999685,414.4614225999685,414.9601222000201,414.9601222000201,414.9601222000201,417.4536252999678,417.4536252999678,2,1.1785095000523143,None,2,0.8271180999581702,None,1,1.3820009999908507,None,2,1.2212892000097781,None,2,1.3900715000345372,None,1,1.7479458000161685,None,2,1.9093706999556161,None,2,1.8621565000503324,None,1,0.9720980999991298,None,2,0.9282584000029601,None,417.4536252999678,432.4808500999934,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
5,0,5,0,,,,,,,,,,,2,432.4808500999934,432.4808500999934,434.9576466999715,434.9576466999715,434.9576466999715,435.45632870000554,435.45632870000554,435.45632870000554,437.9497787000146,437.9497787000146,437.9497787000146,438.44888049998553,438.44888049998553,438.44888049998553,440.94186329998774,440.94186329998774,440.94186329998774,441.4408550999942,441.4408550999942,441.4408550999942,443.93366609996883,443.93366609996883,443.93366609996883,444.43313570000464,444.43313570000464,444.43313570000464,446.92626500001643,446.92626500001643,446.92626500001643,447.42513920000056,447.42513920000056,447.42513920000056,449.91832489997614,449.91832489997614,449.91832489997614,450.4170807999908,450.4170807999908,450.4170807999908,452.91040890000295,452.91040890000295,452.91040890000295,453.4093336999649,453.4093336999649,453.4093336999649,455.90272060001735,455.90272060001735,455.90272060001735,456.4012717999867,456.4012717999867,456.4012717999867,458.8944880000199,458.8944880000199,458.8944880000199,459.3935628000181,459.3935628000181,459.3935628000181,461.8869011999923,461.8869011999923,461.8869011999923,462.3859565000166,462.3859565000166,462.3859565000166,464.9175228999811,464.9175228999811,1,0.7127176999929361,None,2,0.6452525000204332,None,2,0.5475847999914549,None,1,0.7028545000357553,None,2,0.5809558000182733,None,2,0.6420899999793619,None,2,0.5070266000111587,None,2,0.525289100012742,None,2,0.9272075000335462,None,2,0.5528640000266023,None,464.9175228999811,464.9175228999811,467.388967100007,467.388967100007,467.388967100007,467.88825989997713,467.88825989997713,467.88825989997713,470.38134610001,470.38134610001,470.38134610001,470.88006180000957,470.88006180000957,470.88006180000957,473.3730813000002,473.3730813000002,473.3730813000002,473.8724385999958,473.8724385999958,473.8724385999958,476.36523300001863,476.36523300001863,476.36523300001863,476.8644520000089,476.8644520000089,476.8644520000089,479.3578963999753,479.3578963999753,479.3578963999753,479.8563715000055,479.8563715000055,479.8563715000055,482.34993319999194,482.34993319999194,482.34993319999194,482.8485381999635,482.8485381999635,482.8485381999635,485.3416905999766,485.3416905999766,485.3416905999766,485.8407309000031,485.8407309000031,485.8407309000031,488.33383419999154,488.33383419999154,488.33383419999154,488.83275629999116,488.83275629999116,488.83275629999116,491.32638240000233,491.32638240000233,491.32638240000233,491.82535160001134,491.82535160001134,491.82535160001134,494.3182451999746,494.3182451999746,494.3182451999746,494.8176441999967,494.8176441999967,494.8176441999967,497.31071079999674,497.31071079999674,2,1.1332353000179864,None,2,0.6811748999753036,None,2,0.9712650000001304,None,None,,,2,1.6029707999550737,None,2,1.080475100025069,None,2,0.5905950999585912,None,1,0.8364982000202872,None,1,1.3383934000157751,None,2,0.890148299979046,None,497.31071079999674,512.357719099964,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
6,0,6,0,,,,,,,,,,,2,512.357719099964,512.357719099964,514.8313227000181,514.8313227000181,514.8313227000181,515.3305327999988,515.3305327999988,515.3305327999988,517.8234161,517.8234161,517.8234161,518.3221862000064,518.3221862000064,518.3221862000064,520.815278199967,520.815278199967,520.815278199967,521.3145545999869,521.3145545999869,521.3145545999869,523.8074712000089,523.8074712000089,523.8074712000089,524.3064923000056,524.3064923000056,524.3064923000056,526.7995585000026,526.7995585000026,526.7995585000026,527.2988175000064,527.2988175000064,527.2988175000064,529.7918671999942,529.7918671999942,529.7918671999942,530.2907359999954,530.2907359999954,530.2907359999954,532.7843509999802,532.7843509999802,532.7843509999802,533.2833611000096,533.2833611000096,533.2833611000096,535.7761001000181,535.7761001000181,535.7761001000181,536.2751785999862,536.2751785999862,536.2751785999862,538.7682736999705,538.7682736999705,538.7682736999705,539.2672581999796,539.2672581999796,539.2672581999796,541.7603091999772,541.7603091999772,541.7603091999772,542.2594333000015,542.2594333000015,542.2594333000015,544.8549854999874,544.8549854999874,2,0.9960996999870986,None,2,0.51656489999732,None,1,0.6681314999586903,None,2,0.6276003000093624,None,2,0.6180829999502748,None,2,0.5562193999649025,None,1,0.9290426000370644,None,2,0.8973691000137478,None,2,1.7048415000317618,None,2,2.426624800020363,None,544.8549854999874,544.8549854999874,547.3296523999888,547.3296523999888,547.3296523999888,547.8281719000079,547.8281719000079,547.8281719000079,550.3212249000208,550.3212249000208,550.3212249000208,550.820784999989,550.820784999989,550.820784999989,553.3133329999982,553.3133329999982,553.3133329999982,553.8123438999755,553.8123438999755,553.8123438999755,556.3058950999985,556.3058950999985,556.3058950999985,556.8047612999799,556.8047612999799,556.8047612999799,559.2980108999764,559.2980108999764,559.2980108999764,559.7970802999916,559.7970802999916,559.7970802999916,562.2902787000057,562.2902787000057,562.2902787000057,562.7887366999639,562.7887366999639,562.7887366999639,565.2822799999849,565.2822799999849,565.2822799999849,565.7812833000207,565.7812833000207,565.7812833000207,568.273979199992,568.273979199992,568.273979199992,568.7731206999742,568.7731206999742,568.7731206999742,571.2666013999842,571.2666013999842,571.2666013999842,571.7655428000144,571.7655428000144,571.7655428000144,574.2588355999906,574.2588355999906,574.2588355999906,574.7577412999817,574.7577412999817,574.7577412999817,577.2505963000003,577.2505963000003,2,1.2356942999758758,None,1,0.544607600022573,None,2,0.9586924000177532,None,2,1.2949812000151724,None,1,0.7937935999943875,None,2,0.7910431000054814,None,None,,,2,0.8271520999842323,None,2,0.6571212999988347,None,2,0.6628043000237085,None,577.2505963000003,592.2754673999734,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
7,0,7,0,,,,,,,,,,,2,592.2754673999734,592.2754673999734,594.7380197999883,594.7380197999883,594.7380197999883,595.2370653999969,595.2370653999969,595.2370653999969,597.7304432999808,597.7304432999808,597.7304432999808,598.22907880001,598.22907880001,598.22907880001,600.7222491999855,600.7222491999855,600.7222491999855,601.2212674000184,601.2212674000184,601.2212674000184,603.7145467000082,603.7145467000082,603.7145467000082,604.2135834000073,604.2135834000073,604.2135834000073,606.7065992999705,606.7065992999705,606.7065992999705,607.2055026000016,607.2055026000016,607.2055026000016,609.6990268999944,609.6990268999944,609.6990268999944,610.1977019999758,610.1977019999758,610.1977019999758,612.691153199994,612.691153199994,612.691153199994,613.1901739999885,613.1901739999885,613.1901739999885,615.6834681999753,615.6834681999753,615.6834681999753,616.1823917999864,616.1823917999864,616.1823917999864,618.6752572999685,618.6752572999685,618.6752572999685,619.1745036999928,619.1745036999928,619.1745036999928,621.6673080999753,621.6673080999753,621.6673080999753,622.1663770999876,622.1663770999876,622.1663770999876,624.7194730999763,624.7194730999763,2,1.0037364999880083,None,2,1.0934421999845654,None,1,0.6743509000516497,None,2,0.6474029999808408,None,2,0.47740609996253625,None,2,0.6968072000308894,None,2,0.6007607000065036,None,2,0.5114037999883294,None,1,0.6597479999763891,None,2,0.43139500002143905,None,624.7194730999763,624.7194730999763,627.1866004000185,627.1866004000185,627.1866004000185,627.685727700009,627.685727700009,627.685727700009,630.1783323999844,630.1783323999844,630.1783323999844,630.6776899999822,630.6776899999822,630.6776899999822,633.1707289000042,633.1707289000042,633.1707289000042,633.6693360999925,633.6693360999925,633.6693360999925,636.1627649000147,636.1627649000147,636.1627649000147,636.6616792000132,636.6616792000132,636.6616792000132,639.1552859999938,639.1552859999938,639.1552859999938,639.6539341000025,639.6539341000025,639.6539341000025,642.1468779999996,642.1468779999996,642.1468779999996,642.6463022999815,642.6463022999815,642.6463022999815,645.1393900999683,645.1393900999683,645.1393900999683,645.6383655999671,645.6383655999671,645.6383655999671,648.1316906000138,648.1316906000138,648.1316906000138,648.6303084999672,648.6303084999672,648.6303084999672,651.1233945999993,651.1233945999993,651.1233945999993,651.6228115999838,651.6228115999838,651.6228115999838,654.1156104999827,654.1156104999827,654.1156104999827,654.6148392999894,654.6148392999894,654.6148392999894,657.1079262999701,657.1079262999701,2,1.4004319999949075,None,2,0.6187140999827534,None,2,0.9416853999719024,None,1,0.9898171000531875,None,1,0.9265198999783024,None,2,1.0349743000115268,None,1,1.4011172000318766,None,1,1.32551070000045,None,2,1.4098751000128686,None,2,2.2989795000175945,None,657.1079262999701,672.0850029999856,,,,,,Sabrina_ZB216,001,2024-02-27_16h56.28.217,nback-master-new,2023.1.3,60.16061680512531,
