Stimulus,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,target.started,prep_instr.started,trial_fixation.started,image.started,key_resp.started,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.333017900004052,11.333017900004052,left,0.4429779000056442,None,,,,,,,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_102_F103.png,nontarget,Face,2-Back,0,0,0,0,0,0,0,0,,,,,,11.79759259999264,11.79759259999264,14.301156700006686,14.801691900007427,14.801691900007427,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_101_M100.png,nontarget,Face,2-Back,0,0,0,0,0,1,1,1,,,,,,,,16.8029278999893,17.303601999999955,17.303601999999955,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_102_F103.png,target,Face,2-Back,0,0,0,0,0,2,2,2,,,,,,,,19.3057117999997,19.80632840000908,19.80632840000908,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_100_F101.png,nontarget,Face,2-Back,0,0,0,0,0,3,3,3,,,,,,,,21.80864780000411,22.309278200002154,22.309278200002154,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_098_F100.png,nontarget,Face,2-Back,0,0,0,0,0,4,4,4,,,,,,,,24.31150099998922,24.812221100000897,24.812221100000897,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_100_F101.png,target,Face,2-Back,0,0,0,0,0,5,5,5,,,,,,,,26.81429290000233,27.315005699987523,27.315005699987523,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_098_F100.png,target,Face,2-Back,0,0,0,0,0,6,6,6,,,,,,,,29.300706500012893,29.801147699996363,29.801147699996363,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_097_M97.png,nontarget,Face,2-Back,0,0,0,0,0,7,7,7,,,,,,,,31.803500200010603,32.30398399999831,32.30398399999831,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_099_M98.png,nontarget,Face,2-Back,0,0,0,0,0,8,8,8,,,,,,,,34.306412000005366,34.807021399989026,34.807021399989026,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
FC_097_M97.png,target,Face,2-Back,0,0,0,0,0,9,9,9,,,,,,,,36.80923990000156,37.309876200015424,37.309876200015424,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
,,,,0,0,0,0,,,,,,,,,,,,,,,,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
TO_102_TOOL117_BA.png,nontarget,Tools,0-Back,1,0,1,0,0,0,0,0,,,,,,39.31201970000984,39.31201970000984,41.816204200003995,42.29900590001489,42.29900590001489,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
TO_103_TOOL120_BA.png,target,Tools,0-Back,1,0,1,0,0,1,1,1,,,,,,,,44.301436800014926,44.80197170001338,44.80197170001338,None,950543,001,2024-02-22_19h06.45.608,nback-practise,2023.1.3,59.37329116651559,
,,,,,,,,,,,,,,,,,,,46.807942599989474,47.308114300016314,47.308114300016314,,,,,,,,
