cond,topText,topColour,bottomText,congruent,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,top_txt.started,top_txt.stopped,bottom_txt.started,bottom_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,21.813514999987092,None,s,0.7630916000343859,21.813514999987092,None,,,,,,,,,,,,,,,,,,,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
2,紅,yellow,黃,0,1,1,0,0,0,0,0,0,0,9,,,,,,,22.596876199997496,None,24.52961700002197,26.527091199997813,26.527091199997813,None,14,27.098432200029492,None,27.192839800030924,None,1,1,1.5959331000340171,27.192839800030924,None,29.091696800023783,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
4,黃,red,藍,0,0,2,0,0,0,0,0,1,1,8,,,,,,,,,,,,,12,29.60050639999099,None,29.69190209999215,None,2,1,1.0242338999523781,29.69190209999215,None,31.590426700015087,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
4,藍,green,黃,0,0,2,0,0,0,0,0,2,2,5,,,,,,,,,,,,,30,32.09276470000623,None,32.19040840002708,None,2,1,1.1225747999851592,32.19040840002708,None,34.088680499990005,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
2,紅,green,綠,0,1,1,0,0,0,0,0,3,3,11,,,,,,,,,,,,,38,34.594956399989314,None,34.68881720001809,None,1,1,1.577452400000766,34.68881720001809,None,36.587593999982346,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
4,紅,blue,綠,0,0,2,0,0,0,0,0,4,4,2,,,,,,,,,,,,,57,37.0875490999897,None,37.18758630001685,None,2,1,1.1687745000235736,37.18758630001685,None,39.086221600009594,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
2,藍,green,綠,0,1,1,0,0,0,0,0,5,5,10,,,,,,,,,,,,,45,39.58710840001004,None,39.68622030003462,None,1,1,1.0533354000071995,39.68622030003462,None,41.58462390000932,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
2,綠,blue,藍,0,1,1,0,0,0,0,0,6,6,0,,,,,,,,,,,,,9,42.08673640002962,None,42.18467879999662,None,1,1,1.0059708000044338,42.18467879999662,None,44.08344160002889,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
4,綠,red,綠,0,0,2,0,0,0,0,0,7,7,4,,,,,,,,,,,,,42,44.5851070000208,None,44.68319760001032,None,2,1,1.004535100015346,44.68319760001032,None,46.58190560003277,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
2,黃,green,綠,0,1,1,0,0,0,0,0,8,8,1,,,,,,,,,,,,,46,47.08379350003088,None,47.18184229999315,None,1,1,1.186451199988369,47.18184229999315,None,49.08065830002306,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
2,藍,green,綠,0,1,1,0,0,0,0,0,9,9,6,,,,,,,,,,,,,5,49.58212660002755,None,49.68033810000634,None,1,1,0.867205600021407,49.68033810000634,None,51.57913999998709,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
4,藍,yellow,綠,0,0,2,0,0,0,0,0,10,10,7,,,,,,,,,,,,,9,52.07930700003635,None,52.178799899993464,None,2,1,0.9500256999745034,52.178799899993464,None,54.07769740000367,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
4,藍,red,黃,0,0,2,0,0,0,0,0,11,11,3,,,,,,,,,,,,,6,54.58020530000795,None,54.67774620000273,None,1,0,1.3310946999699809,54.67774620000273,None,None,None,Gianna_personal,001,2024_Feb_23_1138,stroop-master,2021.1.4,59.79016044901868,
