cond,topText,topColour,bottomText,congruent,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,top_txt.started,top_txt.stopped,bottom_txt.started,bottom_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,31.469519900000705,None,s,0.8156546999998682,31.469519900000705,None,,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
4,藍,red,綠,0,0,2,0,0,0,0,0,0,0,8,,,,,,,32.31825040000058,None,33.72294630000033,35.71788650000053,35.71788650000053,None,38,36.49742790000073,None,36.60055560000001,None,2,1,0.6983773000001747,36.60055560000001,None,38.534037100000205,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
4,綠,blue,紅,0,0,2,0,0,0,0,0,1,1,11,,,,,,,,,,,,,13,39.04951450000044,None,39.14916290000019,None,2,1,0.9375878000000739,39.14916290000019,None,41.048094000000674,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
2,紅,blue,藍,0,1,1,0,0,0,0,0,2,2,9,,,,,,,,,,,,,13,41.55720880000081,None,41.66443840000011,None,1,1,0.7760072000000946,41.66443840000011,None,43.563348399999995,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
4,綠,yellow,藍,0,0,2,0,0,0,0,0,3,3,4,,,,,,,,,,,,,12,44.06516760000068,None,44.162963100000525,None,2,1,0.5792485000001761,44.162963100000525,None,46.06200700000045,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
2,黃,green,綠,0,1,1,0,0,0,0,0,4,4,3,,,,,,,,,,,,,62,46.58263100000022,None,46.67814400000043,None,1,1,0.651674799999455,46.67814400000043,None,48.602359600000455,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
4,藍,red,黃,0,0,2,0,0,0,0,0,5,5,0,,,,,,,,,,,,,35,49.12241520000043,None,49.22632020000037,None,2,1,0.6149079999995593,49.22632020000037,None,51.20884010000009,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
2,綠,red,紅,0,1,1,0,0,0,0,0,6,6,1,,,,,,,,,,,,,5,51.71438590000071,None,51.8086828000005,None,1,1,0.6980783000008159,51.8086828000005,None,53.70767980000073,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
2,紅,yellow,黃,0,1,1,0,0,0,0,0,7,7,6,,,,,,,,,,,,,12,54.213787100000445,None,54.30730170000061,None,1,1,0.7858617000001686,54.30730170000061,None,56.20623599999999,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
2,綠,red,紅,0,1,1,0,0,0,0,0,8,8,2,,,,,,,,,,,,,39,56.71317620000082,None,56.80583580000075,None,1,1,0.9321712000000844,56.80583580000075,None,58.70491970000057,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
4,紅,yellow,綠,0,0,2,0,0,0,0,0,9,9,10,,,,,,,,,,,,,4,59.212394800000766,None,59.30452830000013,None,2,1,0.6771368999998231,59.30452830000013,None,None,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
4,紅,green,藍,0,0,2,0,0,0,0,0,10,10,5,,,,,,,,,,,,,33,61.20859030000065,61.20859030000065,61.30338420000044,61.20859030000065,2,1,1.1707336999998006,61.30338420000044,61.20859030000065,63.202355200000056,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
2,黃,green,綠,0,1,1,0,0,0,0,0,11,11,7,,,,,,,,,,,,,58,63.7088631000006,None,63.801989600000525,None,1,1,0.4967212000001382,63.801989600000525,None,65.7009121000001,None,Jocelyn_personal,001,2024_Feb_19_1543,stroop-master,2021.1.4,60.04141656943138,
