cond,topText,topColour,bottomText,congruent,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,top_txt.started,top_txt.stopped,bottom_txt.started,bottom_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,(iti duration),(stim duration)
,,,,,,,,,,,,,,,20.9956263,None,s,0.4775046,20.9956263,None,,,,,,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,,
5,的,green,綠,0,1,1,0,0,0,0,0,0,0,8,,,,,,,21.5024129,None,21.9369277,23.9324042,23.9324042,None,98,24.5756519,None,24.681861,None,2,0,0.4266963,24.681861,None,26.5828573,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5169928,2.0072054
6,到,green,藍,0,0,2,0,0,0,0,0,1,1,4,,,,,,,,,,,,,76,27.0998501,None,27.1970601,None,2,1,0.6044708,27.1970601,None,29.0960569,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5042873,1.9962068
5,的,blue,藍,0,1,1,0,0,0,0,0,2,2,7,,,,,,,,,,,,,87,29.6003442,None,29.6957425,None,1,1,0.505827,29.6957425,None,31.5946525,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5148347,1.9943083
6,到,green,紅,0,0,2,0,0,0,0,0,3,3,0,,,,,,,,,,,,,120,32.1094872,None,32.2109158,None,2,1,0.6248973,32.2109158,None,34.109906,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5127213,2.0004188
6,個,yellow,藍,0,0,2,0,0,0,0,0,4,4,3,,,,,,,,,,,,,99,34.6226273,None,34.7262808,None,2,1,0.6195728,34.7262808,None,36.6252904,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5079653,2.0026631
5,的,red,紅,0,1,1,0,0,0,0,0,5,5,9,,,,,,,,,,,,,72,37.1332557,None,37.2414457,None,1,1,0.4426232,37.2414457,None,39.1403535,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5160048,2.0070978
6,並,red,藍,0,0,2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,89,39.6563583,None,39.7567061,None,2,1,0.4549342,39.7567061,None,41.6557806,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5062087,1.9994223
5,的,red,紅,0,1,1,0,0,0,0,0,7,7,5,,,,,,,,,,,,,73,42.1619893,None,42.2553967,None,1,1,0.7041405,42.2553967,None,44.1542751,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5037607,1.9922858
6,到,yellow,紅,0,0,2,0,0,0,0,0,8,8,11,,,,,,,,,,,,,75,44.6580358,None,44.754,None,None,0,,44.754,None,46.6528695,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.503454,1.9948337
5,個,red,紅,0,1,1,0,0,0,0,0,9,9,1,,,,,,,,,,,,,72,47.1563235,None,47.2526258,None,None,0,,47.2526258,None,49.1516942,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,0.5029866,1.9953707
5,的,red,紅,0,1,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,72,49.6546808,None,49.7513475,None,None,0,,49.7513475,None,51.6500326,None,Jocelyn_personal,1,2024_Feb_19_1545,stroop-master,2021.1.4,60.04484149,,1.9953518
,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,0
